# SHEtoken GPI Historical Trends 2015-2024
# Gender Poverty Index — 9 economic dimensions
# (c) 2026 SHE Foundation
#
iso_code,country,year,gpi_score,gpi_income_poverty,gpi_wealth,gpi_wage,gpi_labour_participation,gpi_financial_inclusion,gpi_food_security,gpi_time_poverty,gpi_land_ownership,gpi_social_protection,rank
BGD,Bangladesh,2015,41.0,51.0,23.0,59.0,34.5,38.0,57.5,55.5,18.8,31.5,24
NGA,Nigeria,2015,40.5,46.5,25.0,55.0,50.5,26.0,53.0,60.0,22.8,25.5,25
EGY,Egypt,2015,39.1,47.0,27.0,61.0,18.5,16.0,67.5,57.8,14.8,42.5,26
ETH,Ethiopia,2015,37.1,37.0,15.0,57.0,80.5,22.0,40.0,52.2,14.8,15.5,27
MLI,Mali,2015,29.1,32.5,9.0,46.2,72.2,12.5,31.2,41.6,7.5,9.2,28
PAK,Pakistan,2015,27.1,34.0,17.0,55.0,20.5,8.0,50.0,33.3,10.8,15.5,29
TCD,Chad,2015,25.5,30.5,9.0,44.2,64.2,4.5,26.2,36.0,7.5,7.2,30
NER,Niger,2015,21.9,25.5,7.0,44.2,44.2,4.5,21.2,36.0,7.5,7.2,31
YEM,Yemen,2015,18.7,32.5,9.0,42.2,10.2,0,31.2,30.5,7.5,5.2,32
SOM,Somalia,2015,17.0,28.5,7.0,42.2,22.2,0,21.2,24.9,3.5,3.2,33
AFG,Afghanistan,2015,16.8,28.5,9.0,38.2,18.2,0,31.2,19.4,3.5,3.2,34
SWE,Sweden,2016,90.9,98.2,77.2,86.2,83.1,94.6,98.6,94.8,89.1,96.1,1
ISL,Iceland,2016,89.8,98.2,76.2,82.2,84.1,93.6,98.6,93.6,87.1,94.6,2
NOR,Norway,2016,89.2,97.2,74.2,85.2,82.1,93.6,98.1,92.5,85.1,95.1,3
FIN,Finland,2016,87.9,96.2,72.2,83.2,80.1,93.6,97.1,90.3,83.1,95.1,4
DEU,Germany,2016,84.6,92.2,68.2,77.2,75.1,93.6,95.1,87.0,79.1,94.1,5
CAN,Canada,2016,84.5,90.2,66.2,75.2,78.1,93.6,96.1,89.2,79.1,93.1,6
AUS,Australia,2016,82.2,88.2,64.2,71.2,74.1,93.6,95.1,85.8,75.1,92.1,7
GBR,UK,2016,82.1,86.2,63.2,73.2,75.1,93.6,95.1,87.0,73.1,92.1,8
USA,USA,2016,80.3,83.7,60.2,74.2,76.1,89.6,93.6,84.8,71.1,89.1,9
JPN,Japan,2016,76.3,95.2,63.2,71.2,60.6,92.6,98.6,71.5,43.1,91.1,10
KOR,South Korea,2016,73.8,94.2,58.2,65.2,58.1,92.6,97.1,74.8,35.1,89.1,11
CHN,China,2016,71.8,70.3,54.4,76.3,69.8,70.0,89.8,82.1,54.6,78.8,12
THA,Thailand,2016,70.0,76.3,48.4,80.3,61.9,70.0,87.2,82.1,46.6,76.8,13
PHL,Philippines,2016,64.9,76.3,44.4,76.3,59.9,54.0,83.8,77.7,50.6,60.9,14
VNM,Vietnam,2016,64.9,68.3,41.4,78.3,69.8,50.0,84.8,79.9,42.6,68.8,15
BRA,Brazil,2016,63.5,66.3,44.4,66.3,55.9,67.0,82.2,77.7,42.6,68.8,16
MEX,Mexico,2016,56.5,60.4,40.4,61.3,44.4,56.0,79.8,63.2,38.6,64.8,17
ZAF,South Africa,2016,55.3,60.4,34.4,56.3,49.9,54.0,72.2,74.3,34.6,61.9,18
IDN,Indonesia,2016,54.5,56.4,36.4,70.3,49.9,44.0,74.8,71.0,34.6,52.9,19
KEN,Kenya,2016,48.9,53.4,28.4,56.3,61.9,44.0,59.8,66.5,30.6,38.9,20
MMR,Myanmar,2016,47.6,57.2,27.3,65.2,50.8,32.5,70.2,66.7,22.9,35.8,21
TZA,Tanzania,2016,42.5,44.2,17.3,61.2,84.8,28.4,50.2,55.6,18.9,21.8,22
IND,India,2016,41.5,48.4,28.4,62.3,28.9,37.0,59.8,48.8,26.6,32.9,23
BGD,Bangladesh,2016,41.2,51.2,23.3,59.2,34.8,38.5,57.7,55.6,18.9,31.8,24
NGA,Nigeria,2016,40.7,46.8,25.3,55.2,50.8,26.4,53.2,60.1,22.9,25.8,25
EGY,Egypt,2016,39.4,47.2,27.3,61.2,18.8,16.4,67.7,57.9,14.9,42.8,26
ETH,Ethiopia,2016,37.3,37.2,15.3,57.2,80.8,22.4,40.2,52.3,14.9,15.8,27
MLI,Mali,2016,29.2,32.6,9.1,46.3,72.3,12.7,31.3,41.6,7.5,9.3,28
PAK,Pakistan,2016,27.4,34.2,17.3,55.2,20.8,8.4,50.2,33.4,10.9,15.8,29
TCD,Chad,2016,25.6,30.6,9.1,44.3,64.3,4.7,26.3,36.0,7.5,7.3,30
NER,Niger,2016,22.0,25.6,7.1,44.3,44.3,4.7,21.3,36.0,7.5,7.3,31
YEM,Yemen,2016,18.8,32.6,9.1,42.3,10.3,0,31.3,30.5,7.5,5.3,32
SOM,Somalia,2016,17.0,28.6,7.1,42.3,22.3,0,21.3,24.9,3.5,3.3,33
AFG,Afghanistan,2016,16.9,28.6,9.1,38.3,18.3,0,31.3,19.4,3.5,3.3,34
SWE,Sweden,2017,91.0,98.3,77.4,86.3,83.2,94.7,98.7,94.8,89.2,96.2,1
ISL,Iceland,2017,90.4,98.3,76.4,86.3,84.2,93.7,98.7,93.7,87.2,94.7,2
NOR,Norway,2017,89.3,97.3,74.4,85.3,82.2,93.7,98.2,92.6,85.2,95.2,3
FIN,Finland,2017,88.0,96.3,72.4,83.3,80.2,93.7,97.2,90.4,83.2,95.2,4
DEU,Germany,2017,84.7,92.3,68.4,77.3,75.2,93.7,95.2,87.0,79.2,94.2,5
CAN,Canada,2017,84.6,90.3,66.4,75.3,78.2,93.7,96.2,89.3,79.2,93.2,6
AUS,Australia,2017,82.3,88.3,64.4,71.3,74.2,93.7,95.2,85.9,75.2,92.2,7
GBR,UK,2017,82.2,86.3,63.4,73.3,75.2,93.7,95.2,87.0,73.2,92.2,8
USA,USA,2017,80.4,83.8,60.4,74.3,76.2,89.7,93.7,84.8,71.2,89.2,9
JPN,Japan,2017,76.4,95.3,63.4,71.3,60.7,92.7,98.7,71.5,43.2,91.2,10
KOR,South Korea,2017,73.9,94.3,58.4,65.3,58.2,92.7,97.2,74.8,35.2,89.2,11
CHN,China,2017,72.1,70.7,54.8,76.6,70.2,70.5,90.0,82.2,54.8,79.2,12
THA,Thailand,2017,70.3,76.7,48.8,80.6,62.2,70.5,87.5,82.2,46.8,77.2,13
PHL,Philippines,2017,65.2,76.7,44.8,76.6,60.2,54.5,84.0,77.8,50.8,61.2,14
VNM,Vietnam,2017,65.2,68.7,41.8,78.6,70.2,50.5,85.0,80.0,42.8,69.2,15
BRA,Brazil,2017,63.8,66.7,44.8,66.6,56.2,67.5,82.5,77.8,42.8,69.2,16
MEX,Mexico,2017,56.8,60.7,40.8,61.6,44.7,56.5,80.0,63.3,38.8,65.2,17
ZAF,South Africa,2017,55.6,60.7,34.8,56.6,50.2,54.5,72.5,74.4,34.8,62.2,18
IDN,Indonesia,2017,54.8,56.7,36.8,70.6,50.2,44.5,75.0,71.1,34.8,53.2,19
KEN,Kenya,2017,49.2,53.7,28.8,56.6,62.2,44.5,60.0,66.6,30.8,39.2,20
MMR,Myanmar,2017,47.8,57.5,27.6,65.4,51.0,32.9,70.4,66.8,23.0,36.0,21
TZA,Tanzania,2017,42.7,44.5,17.6,61.4,85.0,28.9,50.4,55.7,19.0,22.0,22
IND,India,2017,41.7,48.7,28.8,62.6,29.2,37.5,60.0,48.9,26.8,33.2,23
BGD,Bangladesh,2017,41.4,51.5,23.6,59.4,35.0,38.9,57.9,55.7,19.0,32.0,24
NGA,Nigeria,2017,40.9,47.0,25.6,55.4,51.0,26.9,53.4,60.2,23.0,26.0,25
EGY,Egypt,2017,39.6,47.5,27.6,61.4,19.0,16.9,67.9,58.0,15.0,43.0,26
ETH,Ethiopia,2017,37.6,37.5,15.6,57.4,81.0,22.9,40.4,52.4,15.0,16.0,27
MLI,Mali,2017,29.3,32.7,9.2,46.4,72.4,12.9,31.4,41.7,7.6,9.4,28
PAK,Pakistan,2017,27.6,34.5,17.6,55.4,21.0,8.9,50.4,33.5,11.0,16.0,29
TCD,Chad,2017,25.7,30.7,9.2,44.4,64.4,4.9,26.4,36.1,7.6,7.4,30
NER,Niger,2017,22.1,25.7,7.2,44.4,44.4,4.9,21.4,36.1,7.6,7.4,31
YEM,Yemen,2017,18.9,32.7,9.2,42.4,10.4,0,31.4,30.6,7.6,5.4,32
SOM,Somalia,2017,17.1,28.7,7.2,42.4,22.4,0,21.4,25.0,3.6,3.4,33
AFG,Afghanistan,2017,17.0,28.7,9.2,38.4,18.4,0,31.4,19.5,3.6,3.4,34
ISL,Iceland,2018,91.4,98.5,76.6,91.5,84.3,93.8,98.8,93.8,87.3,97.8,1
SWE,Sweden,2018,91.2,98.5,77.6,87.5,83.3,94.8,98.8,94.9,89.3,96.3,2
NOR,Norway,2018,89.6,97.5,74.6,86.5,82.3,93.8,98.3,92.7,85.3,95.3,3
FIN,Finland,2018,88.2,96.5,72.6,84.5,80.3,93.8,97.3,90.5,83.3,95.3,4
DEU,Germany,2018,85.0,92.5,68.6,78.5,75.3,93.8,95.3,87.1,79.3,94.3,5
CAN,Canada,2018,84.9,90.5,66.6,76.5,78.3,93.8,96.3,89.4,79.3,93.3,6
AUS,Australia,2018,82.5,88.5,64.6,72.5,74.3,93.8,95.3,86.0,75.3,92.3,7
GBR,UK,2018,82.4,86.5,63.6,74.5,75.3,93.8,95.3,87.1,73.3,92.3,8
USA,USA,2018,80.6,84.0,60.6,75.5,76.3,89.8,93.8,84.9,71.3,89.3,9
JPN,Japan,2018,76.7,95.5,63.6,72.5,60.8,92.8,98.8,71.6,43.3,91.3,10
KOR,South Korea,2018,74.2,94.5,58.6,66.5,58.3,92.8,97.3,74.9,35.3,89.3,11
CHN,China,2018,72.4,71.0,55.2,76.9,70.5,71.0,90.2,82.3,55.0,79.5,12
THA,Thailand,2018,70.6,77.0,49.2,80.9,62.5,71.0,87.8,82.3,47.0,77.5,13
PHL,Philippines,2018,65.5,77.0,45.2,76.9,60.5,55.0,84.2,77.9,51.0,61.5,14
VNM,Vietnam,2018,65.5,69.0,42.2,78.9,70.5,51.0,85.2,80.1,43.0,69.5,15
BRA,Brazil,2018,64.1,67.0,45.2,66.9,56.5,68.0,82.8,77.9,43.0,69.5,16
MEX,Mexico,2018,57.1,61.0,41.2,61.9,45.0,57.0,80.2,63.4,39.0,65.5,17
ZAF,South Africa,2018,55.9,61.0,35.2,56.9,50.5,55.0,72.8,74.5,35.0,62.5,18
IDN,Indonesia,2018,55.1,57.0,37.2,70.9,50.5,45.0,75.2,71.2,35.0,53.5,19
KEN,Kenya,2018,49.4,54.0,29.2,56.9,62.5,45.0,60.2,66.7,30.9,39.5,20
MMR,Myanmar,2018,48.1,57.8,27.9,65.6,51.2,33.4,70.6,66.8,23.2,36.2,21
TZA,Tanzania,2018,43.0,44.8,17.9,61.6,85.2,29.4,50.6,55.7,19.2,22.2,22
IND,India,2018,42.0,49.0,29.2,62.9,29.6,38.0,60.2,49.0,26.9,33.5,23
BGD,Bangladesh,2018,41.7,51.8,23.9,59.6,35.2,39.4,58.1,55.7,19.2,32.2,24
NGA,Nigeria,2018,41.2,47.2,25.9,55.6,51.2,27.4,53.6,60.2,23.2,26.2,25
EGY,Egypt,2018,39.8,47.8,27.9,61.6,19.2,17.4,68.1,58.0,15.2,43.2,26
ETH,Ethiopia,2018,37.8,37.8,15.9,57.6,81.2,23.4,40.6,52.4,15.2,16.2,27
MLI,Mali,2018,29.4,32.8,9.3,46.4,72.4,13.1,31.4,41.7,7.7,9.4,28
PAK,Pakistan,2018,27.8,34.8,17.9,55.6,21.2,9.3,50.6,33.5,11.2,16.2,29
TCD,Chad,2018,25.7,30.8,9.3,44.4,64.4,5.1,26.4,36.1,7.7,7.4,30
NER,Niger,2018,22.2,25.8,7.3,44.4,44.4,5.1,21.4,36.1,7.7,7.4,31
YEM,Yemen,2018,18.9,32.8,9.3,42.4,10.4,0,31.4,30.6,7.7,5.4,32
SOM,Somalia,2018,17.1,28.8,7.3,42.4,22.4,0,21.4,25.0,3.6,3.4,33
AFG,Afghanistan,2018,17.0,28.8,9.3,38.4,18.4,0,31.4,19.5,3.6,3.4,34
SWE,Sweden,2019,91.3,98.6,77.8,87.1,83.4,94.9,98.9,94.9,89.4,96.4,1
ISL,Iceland,2019,90.9,98.6,76.8,88.1,84.4,93.9,98.9,93.8,87.4,96.4,2
NOR,Norway,2019,89.6,97.6,74.8,86.1,82.4,93.9,98.4,92.7,85.4,95.4,3
FIN,Finland,2019,88.3,96.6,72.8,84.1,80.4,93.9,97.4,90.5,83.4,95.4,4
DEU,Germany,2019,85.0,92.6,68.8,78.1,75.4,93.9,95.4,87.1,79.4,94.4,5
CAN,Canada,2019,84.9,90.6,66.8,76.1,78.4,93.9,96.4,89.4,79.4,93.4,6
AUS,Australia,2019,82.6,88.6,64.8,72.1,74.4,93.9,95.4,86.0,75.4,92.4,7
GBR,UK,2019,82.5,86.6,63.8,74.1,75.4,93.9,95.4,87.1,73.4,92.4,8
USA,USA,2019,80.7,84.1,60.8,75.1,76.4,89.9,93.9,84.9,71.4,89.4,9
JPN,Japan,2019,76.7,95.6,63.8,72.1,60.9,92.9,98.9,71.6,43.4,91.4,10
KOR,South Korea,2019,74.2,94.6,58.8,66.1,58.4,92.9,97.4,74.9,35.4,89.4,11
CHN,China,2019,72.7,71.4,55.6,77.2,70.9,71.5,90.5,82.4,55.1,79.9,12
THA,Thailand,2019,70.9,77.4,49.6,81.2,62.9,71.5,88.0,82.4,47.1,77.9,13
PHL,Philippines,2019,65.8,77.4,45.6,77.2,60.9,55.5,84.5,78.0,51.1,61.9,14
VNM,Vietnam,2019,65.8,69.4,42.6,79.2,70.9,51.5,85.5,80.2,43.1,69.9,15
BRA,Brazil,2019,64.4,67.4,45.6,67.2,56.9,68.5,83.0,78.0,43.1,69.9,16
MEX,Mexico,2019,57.5,61.4,41.6,62.2,45.4,57.5,80.5,63.5,39.1,65.9,17
ZAF,South Africa,2019,56.2,61.4,35.6,57.2,50.9,55.5,73.0,74.6,35.1,62.9,18
IDN,Indonesia,2019,55.4,57.4,37.6,71.2,50.9,45.5,75.5,71.3,35.1,53.9,19
KEN,Kenya,2019,49.8,54.4,29.6,57.2,62.9,45.5,60.5,66.8,31.1,39.9,20
MMR,Myanmar,2019,48.3,58.0,28.2,65.8,51.5,33.8,70.8,66.9,23.3,36.5,21
TZA,Tanzania,2019,43.2,45.0,18.2,61.8,85.5,29.8,50.8,55.8,19.3,22.5,22
IND,India,2019,42.4,49.4,29.6,63.2,29.9,38.5,60.5,49.1,27.1,33.9,23
BGD,Bangladesh,2019,41.9,52.0,24.2,59.8,35.5,39.8,58.3,55.8,19.3,32.5,24
NGA,Nigeria,2019,41.4,47.5,26.2,55.8,51.5,27.8,53.8,60.3,23.3,26.5,25
EGY,Egypt,2019,40.1,48.0,28.2,61.8,19.5,17.8,68.3,58.1,15.3,43.5,26
ETH,Ethiopia,2019,38.0,38.0,16.2,57.8,81.5,23.8,40.8,52.5,15.3,16.5,27
MLI,Mali,2019,29.4,32.9,9.4,46.5,72.5,13.3,31.5,41.7,7.7,9.5,28
PAK,Pakistan,2019,28.1,35.0,18.2,55.8,21.5,9.8,50.8,33.6,11.3,16.5,29
TCD,Chad,2019,25.8,30.9,9.4,44.5,64.5,5.3,26.5,36.1,7.7,7.5,30
NER,Niger,2019,22.3,25.9,7.4,44.5,44.5,5.3,21.5,36.1,7.7,7.5,31
YEM,Yemen,2019,19.0,32.9,9.4,42.5,10.5,0,31.5,30.6,7.7,5.5,32
SOM,Somalia,2019,17.2,28.9,7.4,42.5,22.5,0,21.5,25.0,3.7,3.5,33
AFG,Afghanistan,2019,17.1,28.9,9.4,38.5,18.5,0,31.5,19.5,3.7,3.5,34
SWE,Sweden,2020,88.7,91.7,78.0,85.2,78.5,95.0,95.0,89.0,89.5,96.5,1
ISL,Iceland,2020,88.4,91.7,77.0,86.2,79.5,94.0,95.0,87.8,87.5,96.5,2
NOR,Norway,2020,87.1,90.7,75.0,84.2,77.5,94.0,94.5,86.8,85.5,95.5,3
FIN,Finland,2020,85.7,89.7,73.0,82.2,75.5,94.0,93.5,84.5,83.5,95.5,4
DEU,Germany,2020,82.5,85.7,69.0,76.2,70.5,94.0,91.5,81.2,79.5,94.5,5
CAN,Canada,2020,82.4,83.7,67.0,74.2,73.5,94.0,92.5,83.5,79.5,93.5,6
AUS,Australia,2020,80.0,81.7,65.0,70.2,69.5,94.0,91.5,80.0,75.5,92.5,7
GBR,UK,2020,79.9,79.7,64.0,72.2,70.5,94.0,91.5,81.2,73.5,92.5,8
USA,USA,2020,78.1,77.3,61.0,73.2,71.5,90.0,90.0,79.0,71.5,89.5,9
JPN,Japan,2020,74.2,88.7,64.0,70.2,56.0,93.0,95.0,65.7,43.5,91.5,10
KOR,South Korea,2020,71.7,87.7,59.0,64.2,53.5,93.0,93.5,69.0,35.5,89.5,11
CHN,China,2020,70.4,64.7,56.0,75.5,66.3,72.0,86.8,76.5,55.2,80.2,12
THA,Thailand,2020,68.5,70.7,50.0,79.5,58.3,72.0,84.2,76.5,47.2,78.2,13
PHL,Philippines,2020,63.4,70.7,46.0,75.5,56.3,56.0,80.8,72.1,51.2,62.2,14
VNM,Vietnam,2020,63.4,62.7,43.0,77.5,66.3,52.0,81.8,74.3,43.2,70.2,15
BRA,Brazil,2020,62.0,60.7,46.0,65.5,52.3,69.0,79.2,72.1,43.2,70.2,16
MEX,Mexico,2020,55.1,54.7,42.0,60.5,40.7,58.0,76.8,57.6,39.2,66.2,17
ZAF,South Africa,2020,53.9,54.7,36.0,55.5,46.3,56.0,69.2,68.7,35.2,63.2,18
IDN,Indonesia,2020,53.0,50.7,38.0,69.5,46.3,46.0,71.8,65.4,35.2,54.2,19
KEN,Kenya,2020,47.4,47.7,30.0,55.5,58.3,46.0,56.8,60.9,31.2,40.2,20
MMR,Myanmar,2020,45.9,51.3,28.5,64.0,46.7,34.2,67.0,61.0,23.4,36.8,21
TZA,Tanzania,2020,40.8,38.3,18.5,60.0,80.7,30.2,47.0,49.9,19.4,22.8,22
BGD,Bangladesh,2020,39.5,45.3,24.5,58.0,30.7,40.2,54.5,49.9,19.4,32.8,23
IND,India,2020,38.9,38.7,30.0,61.5,19.3,39.0,56.8,43.2,27.2,34.2,24
NGA,Nigeria,2020,37.8,35.8,26.5,54.0,46.7,28.2,44.0,54.4,23.4,26.8,25
EGY,Egypt,2020,37.6,41.3,28.5,60.0,14.7,18.2,64.5,52.2,15.4,43.8,26
ETH,Ethiopia,2020,35.6,31.3,16.5,56.0,76.7,24.2,37.0,46.6,15.4,16.8,27
MLI,Mali,2020,26.9,26.0,9.5,44.6,67.6,13.5,27.6,35.8,7.8,9.6,28
PAK,Pakistan,2020,25.6,28.3,18.5,54.0,16.7,10.2,47.0,27.7,11.4,16.8,29
TCD,Chad,2020,23.3,24.0,9.5,42.6,59.6,5.5,22.6,30.1,7.8,7.6,30
NER,Niger,2020,19.7,19.0,7.5,42.6,39.6,5.5,17.6,30.1,7.8,7.6,31
YEM,Yemen,2020,16.4,26.0,9.5,40.6,5.6,0,27.6,24.7,7.8,5.6,32
SOM,Somalia,2020,14.6,22.0,7.5,40.6,17.6,0,17.6,19.1,3.8,3.6,33
AFG,Afghanistan,2020,14.5,22.0,9.5,36.6,13.6,0,27.6,13.6,3.8,3.6,34
SWE,Sweden,2021,91.2,99.4,78.2,86.4,84.1,97.1,97.1,92.0,89.6,96.6,1
ISL,Iceland,2021,90.8,99.4,77.2,87.4,85.1,96.1,97.1,90.9,87.6,96.6,2
NOR,Norway,2021,89.5,98.4,75.2,85.4,83.1,96.1,96.6,89.8,85.6,95.6,3
FIN,Finland,2021,88.2,97.4,73.2,83.4,81.1,96.1,95.6,87.6,83.6,95.6,4
DEU,Germany,2021,84.9,93.4,69.2,77.4,76.1,96.1,93.6,84.2,79.6,94.6,5
CAN,Canada,2021,84.8,91.4,67.2,75.4,79.1,96.1,94.6,86.5,79.6,93.6,6
AUS,Australia,2021,82.5,89.4,65.2,71.4,75.1,96.1,93.6,83.1,75.6,92.6,7
GBR,UK,2021,82.4,87.4,64.2,73.4,76.1,96.1,93.6,84.2,73.6,92.6,8
USA,USA,2021,80.6,84.9,61.2,74.4,77.1,92.1,92.1,82.0,71.6,89.6,9
JPN,Japan,2021,76.6,96.4,64.2,71.4,61.6,95.1,97.1,68.7,43.6,91.6,10
KOR,South Korea,2021,74.1,95.4,59.2,65.4,59.1,95.1,95.6,72.0,35.6,89.6,11
CHN,China,2021,73.0,72.6,56.4,76.8,72.1,74.5,89.0,79.6,55.4,80.6,12
THA,Thailand,2021,71.2,78.6,50.4,80.8,64.1,74.5,86.5,79.6,47.4,78.6,13
PHL,Philippines,2021,66.1,78.6,46.4,76.8,62.1,58.5,83.0,75.2,51.4,62.6,14
VNM,Vietnam,2021,66.1,70.6,43.4,78.8,72.1,54.5,84.0,77.4,43.4,70.6,15
BRA,Brazil,2021,64.7,68.6,46.4,66.8,58.1,71.5,81.5,75.2,43.4,70.6,16
MEX,Mexico,2021,57.7,62.6,42.4,61.8,46.6,60.5,79.0,60.7,39.4,66.6,17
ZAF,South Africa,2021,56.5,62.6,36.4,56.8,52.1,58.5,71.5,71.8,35.4,63.6,18
IDN,Indonesia,2021,55.7,58.6,38.4,70.8,52.1,48.5,74.0,68.5,35.4,54.6,19
KEN,Kenya,2021,50.0,55.6,30.4,56.8,64.1,48.5,59.0,64.0,31.4,40.6,20
MMR,Myanmar,2021,48.4,59.0,28.8,65.2,52.5,36.7,69.2,64.1,23.5,37.0,21
TZA,Tanzania,2021,43.3,46.0,18.8,61.2,86.5,32.7,49.2,53.0,19.5,23.0,22
IND,India,2021,42.1,48.6,30.4,62.8,28.1,41.5,59.0,46.3,27.4,34.6,23
BGD,Bangladesh,2021,42.0,53.0,24.8,59.2,36.5,42.7,56.7,53.0,19.5,33.0,24
NGA,Nigeria,2021,40.9,46.0,26.8,55.2,52.5,30.7,49.2,57.5,23.5,27.0,25
EGY,Egypt,2021,40.2,49.0,28.8,61.2,20.5,20.7,66.7,55.3,15.5,44.0,26
ETH,Ethiopia,2021,38.2,39.0,16.8,57.2,82.5,26.7,39.2,49.7,15.5,17.0,27
MLI,Mali,2021,29.3,33.6,9.6,45.7,73.2,15.7,29.7,38.8,7.8,9.7,28
PAK,Pakistan,2021,28.2,36.0,18.8,55.2,22.5,12.7,49.2,30.8,11.5,17.0,29
TCD,Chad,2021,25.7,31.6,9.6,43.7,65.2,7.7,24.7,33.2,7.8,7.7,30
NER,Niger,2021,22.1,26.6,7.6,43.7,45.2,7.7,19.7,33.2,7.8,7.7,31
YEM,Yemen,2021,18.7,33.6,9.6,41.7,11.2,1.7,29.7,27.7,7.8,5.7,32
SOM,Somalia,2021,17.0,29.6,7.6,41.7,23.2,1.7,19.7,22.1,3.8,3.7,33
AFG,Afghanistan,2021,16.8,29.6,9.6,37.7,19.2,1.0,29.7,16.6,3.8,3.7,34
SWE,Sweden,2022,91.1,97.5,78.4,86.5,82.7,99.2,97.2,92.0,89.7,96.7,1
ISL,Iceland,2022,90.8,97.5,77.4,87.5,83.7,98.2,97.2,90.9,87.7,96.7,2
NOR,Norway,2022,89.5,96.5,75.4,85.5,81.7,98.2,96.7,89.8,85.7,95.7,3
FIN,Finland,2022,88.1,95.5,73.4,83.5,79.7,98.2,95.7,87.6,83.7,95.7,4
DEU,Germany,2022,84.8,91.5,69.4,77.5,74.7,98.2,93.7,84.2,79.7,94.7,5
CAN,Canada,2022,84.8,89.5,67.4,75.5,77.7,98.2,94.7,86.5,79.7,93.7,6
AUS,Australia,2022,82.4,87.5,65.4,71.5,73.7,98.2,93.7,83.1,75.7,92.7,7
GBR,UK,2022,82.3,85.5,64.4,73.5,74.7,98.2,93.7,84.2,73.7,92.7,8
USA,USA,2022,79.5,80.0,61.4,72.5,71.7,94.2,92.2,82.0,71.7,89.7,9
JPN,Japan,2022,76.6,94.5,64.4,71.5,60.2,97.2,97.2,68.8,43.7,91.7,10
KOR,South Korea,2022,74.0,93.5,59.4,65.5,57.7,97.2,95.7,72.0,35.7,89.7,11
CHN,China,2022,73.1,71.0,56.8,77.1,71.0,77.0,89.2,79.7,55.5,81.0,12
THA,Thailand,2022,71.3,77.0,50.8,81.1,63.0,77.0,86.8,79.7,47.5,79.0,13
PHL,Philippines,2022,66.2,77.0,46.8,77.1,61.0,61.0,83.2,75.3,51.5,63.0,14
VNM,Vietnam,2022,66.2,69.0,43.8,79.1,71.0,57.0,84.2,77.5,43.5,71.0,15
BRA,Brazil,2022,64.8,67.0,46.8,67.1,57.0,74.0,81.8,75.3,43.5,71.0,16
MEX,Mexico,2022,57.9,61.0,42.8,62.1,45.5,63.0,79.2,60.8,39.5,67.0,17
