# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Chhattisgarh,CG,SHE-CG,2016,45.5,46.1,66.8,37.7,60.2,48.2,51.6,50.2,44.0,50.5
Assam,AS,SHE-AS,2016,45.1,42.1,68.8,37.7,60.2,48.2,51.6,50.2,44.0,50.5
Rajasthan,RJ,SHE-RJ,2016,43.9,44.1,56.8,37.7,62.2,46.2,51.6,50.2,44.0,50.5
Madhya Pradesh,MP,SHE-MP,2016,43.9,42.1,62.8,35.7,58.2,48.2,51.6,50.2,44.0,50.5
Jharkhand,JH,SHE-JH,2016,42.9,40.1,60.8,33.7,56.2,48.2,51.6,50.2,44.0,50.5
Bihar,BR,SHE-BR,2016,40.2,34.1,56.8,26.7,52.2,48.2,51.6,50.2,44.0,50.5
Uttar Pradesh,UP,SHE-UP,2016,39.9,32.1,56.8,26.7,52.2,48.2,51.6,50.2,44.0,50.5
Kerala,KL,SHE-KL,2017,58.8,75.3,93.0,60.4,85.9,48.4,52.2,48.4,44.4,50.4
Goa,GA,SHE-GA,2017,56.0,62.3,89.0,57.9,84.4,48.4,51.7,50.4,44.4,50.4
Tamil Nadu,TN,SHE-TN,2017,55.9,66.3,87.0,57.9,80.4,48.4,51.7,50.4,44.4,50.4
Mizoram,MZ,SHE-MZ,2017,53.5,56.3,89.0,49.9,78.4,48.4,51.7,50.4,44.4,50.4
Himachal Pradesh,HP,SHE-HP,2017,53.0,56.3,85.0,49.9,78.4,48.4,51.7,50.4,44.4,50.4
Meghalaya,ML,SHE-ML,2017,52.6,58.3,81.0,51.9,74.4,48.4,51.7,50.4,44.4,50.4
Telangana,TS,SHE-TS,2017,52.4,60.3,77.0,51.9,74.4,48.4,51.7,50.4,44.4,50.4
Karnataka,KA,SHE-KA,2017,52.3,58.3,77.0,53.9,74.4,48.4,51.7,50.4,44.4,50.4
Delhi,DL,SHE-DL,2017,52.1,52.3,83.0,51.9,76.4,48.4,51.7,50.4,44.4,50.4
Andhra Pradesh,AP,SHE-AP,2017,51.8,58.3,75.0,53.9,72.4,48.4,51.7,50.4,44.4,50.4
Maharashtra,MH,SHE-MH,2017,51.7,54.3,79.0,53.9,72.4,48.4,51.7,50.4,44.4,50.4
Manipur,MN,SHE-MN,2017,51.2,54.3,79.0,51.9,70.4,48.4,51.7,50.4,44.4,50.4
Gujarat,GJ,SHE-GJ,2017,50.9,50.3,77.0,53.9,72.4,48.4,51.7,50.4,44.4,50.4
Uttarakhand,UK,SHE-UK,2017,50.9,52.3,81.0,45.9,74.4,48.4,51.7,50.4,44.4,50.4
Punjab,PB,SHE-PB,2017,50.1,48.3,77.0,47.9,74.4,48.4,51.7,50.4,44.4,50.4
West Bengal,WB,SHE-WB,2017,47.0,50.8,70.5,42.4,68.4,41.9,51.7,46.9,44.4,50.4
Odisha,OD,SHE-OD,2017,46.5,46.3,69.0,39.9,64.4,48.4,50.2,50.4,44.4,50.4
Haryana,HR,SHE-HR,2017,46.3,40.3,71.0,43.9,64.4,47.4,51.7,50.4,44.4,50.4
Chhattisgarh,CG,SHE-CG,2017,45.7,46.3,67.0,37.9,60.4,48.4,51.7,50.4,44.4,50.4
Assam,AS,SHE-AS,2017,45.4,42.3,69.0,37.9,60.4,48.4,51.7,50.4,44.4,50.4
Rajasthan,RJ,SHE-RJ,2017,44.2,44.3,57.0,37.9,62.4,46.4,51.7,50.4,44.4,50.4
Madhya Pradesh,MP,SHE-MP,2017,44.2,42.3,63.0,35.9,58.4,48.4,51.7,50.4,44.4,50.4
Jharkhand,JH,SHE-JH,2017,43.1,40.3,61.0,33.9,56.4,48.4,51.7,50.4,44.4,50.4
Bihar,BR,SHE-BR,2017,40.3,34.3,57.0,25.4,52.4,48.4,51.7,50.4,44.4,50.4
Uttar Pradesh,UP,SHE-UP,2017,40.1,32.3,57.0,26.9,52.4,48.4,51.7,50.4,44.4,50.4
Kerala,KL,SHE-KL,2018,59.2,75.5,93.2,61.1,86.1,48.6,51.8,50.6,44.9,50.4
Goa,GA,SHE-GA,2018,56.3,62.5,89.2,58.1,84.6,48.6,51.8,50.6,44.9,50.4
Tamil Nadu,TN,SHE-TN,2018,56.1,66.5,87.2,58.1,80.6,48.6,51.8,50.6,44.9,50.4
Mizoram,MZ,SHE-MZ,2018,53.7,56.5,89.2,50.1,78.6,48.6,51.8,50.6,44.9,50.4
Himachal Pradesh,HP,SHE-HP,2018,53.2,56.5,85.2,50.1,78.6,48.6,51.8,50.6,44.9,50.4
Meghalaya,ML,SHE-ML,2018,52.8,58.5,81.2,52.1,74.6,48.6,51.8,50.6,44.9,50.4
Telangana,TS,SHE-TS,2018,52.6,60.5,77.2,52.1,74.6,48.6,51.8,50.6,44.9,50.4
Karnataka,KA,SHE-KA,2018,52.5,58.5,77.2,54.1,74.6,48.6,51.8,50.6,44.9,50.4
Delhi,DL,SHE-DL,2018,52.4,52.5,83.2,52.1,76.6,48.6,51.8,50.6,44.9,50.4
Andhra Pradesh,AP,SHE-AP,2018,52.1,58.5,75.2,54.1,72.6,48.6,51.8,50.6,44.9,50.4
Maharashtra,MH,SHE-MH,2018,51.9,54.5,79.2,54.1,72.6,48.6,51.8,50.6,44.9,50.4
Manipur,MN,SHE-MN,2018,51.5,54.5,79.2,52.1,70.6,48.6,51.8,50.6,44.9,50.4
Uttarakhand,UK,SHE-UK,2018,51.2,52.5,81.2,46.1,74.6,48.6,51.8,50.6,44.9,50.4
Gujarat,GJ,SHE-GJ,2018,51.1,50.5,77.2,54.1,72.6,48.6,51.8,50.6,44.9,50.4
Punjab,PB,SHE-PB,2018,50.3,48.5,77.2,48.1,74.6,48.6,51.8,50.6,44.9,50.4
West Bengal,WB,SHE-WB,2018,47.8,50.5,72.8,42.6,68.6,45.1,51.8,47.1,44.9,50.4
Odisha,OD,SHE-OD,2018,46.7,46.5,69.2,40.1,64.6,48.6,50.3,50.6,44.9,50.4
Haryana,HR,SHE-HR,2018,46.6,40.5,71.2,44.1,64.6,47.6,51.8,50.6,44.9,50.4
Chhattisgarh,CG,SHE-CG,2018,45.9,46.5,67.2,38.1,60.6,48.6,51.8,50.6,44.9,50.4
Assam,AS,SHE-AS,2018,45.6,42.5,69.2,38.1,60.6,48.6,51.8,50.6,44.9,50.4
Rajasthan,RJ,SHE-RJ,2018,44.8,44.5,59.2,38.1,62.6,47.6,51.8,50.6,44.9,50.4
Madhya Pradesh,MP,SHE-MP,2018,44.4,42.5,63.2,36.1,58.6,48.6,51.8,50.6,44.9,50.4
Jharkhand,JH,SHE-JH,2018,43.4,40.5,61.2,34.1,56.6,48.6,51.8,50.6,44.9,50.4
Bihar,BR,SHE-BR,2018,40.7,34.5,57.2,27.6,52.6,48.6,51.8,50.6,44.9,50.4
Uttar Pradesh,UP,SHE-UP,2018,40.4,32.5,57.2,27.1,52.6,48.6,51.8,50.6,44.9,50.4
Kerala,KL,SHE-KL,2019,59.6,77.6,93.5,60.8,86.3,48.8,51.9,49.8,45.3,50.3
Goa,GA,SHE-GA,2019,56.5,62.6,89.5,58.3,84.8,48.8,51.9,50.8,45.3,50.3
Tamil Nadu,TN,SHE-TN,2019,56.3,66.6,87.5,58.3,80.8,48.8,51.9,50.8,45.3,50.3
Mizoram,MZ,SHE-MZ,2019,53.9,56.6,89.5,50.3,78.8,48.8,51.9,50.8,45.3,50.3
Himachal Pradesh,HP,SHE-HP,2019,53.4,56.6,85.5,50.3,78.8,48.8,51.9,50.8,45.3,50.3
Meghalaya,ML,SHE-ML,2019,53.0,58.6,81.5,52.3,74.8,48.8,51.9,50.8,45.3,50.3
Telangana,TS,SHE-TS,2019,52.8,60.6,77.5,52.3,74.8,48.8,51.9,50.8,45.3,50.3
Karnataka,KA,SHE-KA,2019,52.7,58.6,77.5,54.3,74.8,48.8,51.9,50.8,45.3,50.3
Delhi,DL,SHE-DL,2019,52.6,52.6,83.5,52.3,76.8,48.8,51.9,50.8,45.3,50.3
Andhra Pradesh,AP,SHE-AP,2019,52.3,58.6,75.5,54.3,72.8,48.8,51.9,50.8,45.3,50.3
Maharashtra,MH,SHE-MH,2019,52.1,54.6,79.5,54.3,72.8,48.8,51.9,50.8,45.3,50.3
Manipur,MN,SHE-MN,2019,51.7,54.6,79.5,52.3,70.8,48.8,51.9,50.8,45.3,50.3
Uttarakhand,UK,SHE-UK,2019,51.4,52.6,81.5,46.3,74.8,48.8,51.9,50.8,45.3,50.3
Gujarat,GJ,SHE-GJ,2019,51.3,50.6,77.5,54.3,72.8,48.8,51.9,50.8,45.3,50.3
Punjab,PB,SHE-PB,2019,50.5,48.6,77.5,48.3,74.8,48.8,51.9,50.8,45.3,50.3
West Bengal,WB,SHE-WB,2019,48.0,50.6,72.0,42.8,68.8,45.8,51.9,47.3,45.3,50.3
Haryana,HR,SHE-HR,2019,47.1,40.6,71.5,44.3,64.8,49.8,51.9,50.8,45.3,50.3
Odisha,OD,SHE-OD,2019,46.9,46.6,69.5,40.3,64.8,48.8,50.4,50.8,45.3,50.3
Chhattisgarh,CG,SHE-CG,2019,46.1,46.6,67.5,38.3,60.8,48.8,51.9,50.8,45.3,50.3
Assam,AS,SHE-AS,2019,45.8,42.6,69.5,38.3,60.8,48.8,51.9,50.8,45.3,50.3
Rajasthan,RJ,SHE-RJ,2019,44.8,44.6,58.5,38.3,62.8,47.3,51.9,50.8,45.3,50.3
Madhya Pradesh,MP,SHE-MP,2019,44.6,42.6,63.5,36.3,58.8,48.8,51.9,50.8,45.3,50.3
Jharkhand,JH,SHE-JH,2019,43.6,40.6,61.5,34.3,56.8,48.8,51.9,50.8,45.3,50.3
Bihar,BR,SHE-BR,2019,40.8,34.6,57.5,26.8,52.8,48.8,51.9,50.8,45.3,50.3
Uttar Pradesh,UP,SHE-UP,2019,40.6,32.6,57.5,27.3,52.8,48.8,51.9,50.8,45.3,50.3
Kerala,KL,SHE-KL,2020,57.4,76.8,89.8,55.0,86.5,49.0,47.0,46.0,45.8,50.2
Goa,GA,SHE-GA,2020,54.4,62.8,85.8,52.5,85.0,49.0,47.0,47.0,45.8,50.2
Tamil Nadu,TN,SHE-TN,2020,54.3,66.8,83.8,52.5,81.0,49.0,47.0,47.0,45.8,50.2
Mizoram,MZ,SHE-MZ,2020,51.8,56.8,85.8,44.5,79.0,49.0,47.0,47.0,45.8,50.2
Himachal Pradesh,HP,SHE-HP,2020,51.3,56.8,81.8,44.5,79.0,49.0,47.0,47.0,45.8,50.2
Meghalaya,ML,SHE-ML,2020,50.9,58.8,77.8,46.5,75.0,49.0,47.0,47.0,45.8,50.2
Telangana,TS,SHE-TS,2020,50.7,60.8,73.8,46.5,75.0,49.0,47.0,47.0,45.8,50.2
Karnataka,KA,SHE-KA,2020,50.7,58.8,73.8,48.5,75.0,49.0,47.0,47.0,45.8,50.2
Delhi,DL,SHE-DL,2020,50.5,52.8,79.8,46.5,77.0,49.0,47.0,47.0,45.8,50.2
Andhra Pradesh,AP,SHE-AP,2020,50.2,58.8,71.8,48.5,73.0,49.0,47.0,47.0,45.8,50.2
Maharashtra,MH,SHE-MH,2020,50.1,54.8,75.8,48.5,73.0,49.0,47.0,47.0,45.8,50.2
Manipur,MN,SHE-MN,2020,49.6,54.8,75.8,46.5,71.0,49.0,47.0,47.0,45.8,50.2
Uttarakhand,UK,SHE-UK,2020,49.3,52.8,77.8,40.5,75.0,49.0,47.0,47.0,45.8,50.2
Gujarat,GJ,SHE-GJ,2020,49.2,50.8,73.8,48.5,73.0,49.0,47.0,47.0,45.8,50.2
Punjab,PB,SHE-PB,2020,48.5,48.8,73.8,42.5,75.0,49.0,47.0,47.0,45.8,50.2
West Bengal,WB,SHE-WB,2020,45.9,50.8,68.2,37.0,69.0,45.0,47.0,44.5,45.8,50.2
Haryana,HR,SHE-HR,2020,44.9,40.8,67.8,38.5,65.0,49.0,47.0,47.0,45.8,50.2
Odisha,OD,SHE-OD,2020,44.8,46.8,65.8,34.5,65.0,49.0,45.5,47.0,45.8,50.2
Chhattisgarh,CG,SHE-CG,2020,44.1,46.8,63.8,32.5,61.0,49.0,47.0,47.0,45.8,50.2
Assam,AS,SHE-AS,2020,43.7,42.8,65.8,32.5,61.0,49.0,47.0,47.0,45.8,50.2
Rajasthan,RJ,SHE-RJ,2020,42.7,44.8,54.8,32.5,63.0,47.5,47.0,47.0,45.8,50.2
Madhya Pradesh,MP,SHE-MP,2020,42.5,42.8,59.8,30.5,59.0,49.0,47.0,47.0,45.8,50.2
Jharkhand,JH,SHE-JH,2020,41.5,40.8,57.8,28.5,57.0,49.0,47.0,47.0,45.8,50.2
Bihar,BR,SHE-BR,2020,38.7,34.8,53.8,21.0,53.0,49.0,47.0,47.0,45.8,50.2
Uttar Pradesh,UP,SHE-UP,2020,38.5,32.8,53.8,21.5,53.0,49.0,47.0,47.0,45.8,50.2
Kerala,KL,SHE-KL,2021,59.7,76.9,94.0,63.2,86.7,49.2,49.6,50.2,46.2,50.2
Goa,GA,SHE-GA,2021,56.3,62.9,90.0,58.7,85.2,49.2,49.6,49.2,46.2,50.2
Tamil Nadu,TN,SHE-TN,2021,56.2,66.9,88.0,58.7,81.2,49.2,49.6,49.2,46.2,50.2
Mizoram,MZ,SHE-MZ,2021,53.8,56.9,90.0,50.7,79.2,49.2,49.6,49.2,46.2,50.2
Himachal Pradesh,HP,SHE-HP,2021,53.3,56.9,86.0,50.7,79.2,49.2,49.6,49.2,46.2,50.2
Meghalaya,ML,SHE-ML,2021,52.9,58.9,82.0,52.7,75.2,49.2,49.6,49.2,46.2,50.2
Telangana,TS,SHE-TS,2021,52.7,60.9,78.0,52.7,75.2,49.2,49.6,49.2,46.2,50.2
Karnataka,KA,SHE-KA,2021,52.6,58.9,78.0,54.7,75.2,49.2,49.6,49.2,46.2,50.2
Delhi,DL,SHE-DL,2021,52.4,52.9,84.0,52.7,77.2,49.2,49.6,49.2,46.2,50.2
Andhra Pradesh,AP,SHE-AP,2021,52.1,58.9,76.0,54.7,73.2,49.2,49.6,49.2,46.2,50.2
Maharashtra,MH,SHE-MH,2021,52.0,54.9,80.0,54.7,73.2,49.2,49.6,49.2,46.2,50.2
Manipur,MN,SHE-MN,2021,51.5,54.9,80.0,52.7,71.2,49.2,49.6,49.2,46.2,50.2
Gujarat,GJ,SHE-GJ,2021,51.2,50.9,78.0,54.7,73.2,49.2,49.6,49.2,46.2,50.2
Uttarakhand,UK,SHE-UK,2021,51.2,52.9,82.0,46.7,75.2,49.2,49.6,49.2,46.2,50.2
Punjab,PB,SHE-PB,2021,50.4,48.9,78.0,48.7,75.2,49.2,49.6,49.2,46.2,50.2
West Bengal,WB,SHE-WB,2021,49.3,50.9,72.5,47.2,69.2,48.2,49.6,52.2,46.2,50.2
Odisha,OD,SHE-OD,2021,47.2,46.9,70.0,40.7,65.2,49.2,51.1,49.2,46.2,50.2
Haryana,HR,SHE-HR,2021,46.8,40.9,72.0,44.7,65.2,49.2,49.6,49.2,46.2,50.2
Chhattisgarh,CG,SHE-CG,2021,46.0,46.9,68.0,38.7,61.2,49.2,49.6,49.2,46.2,50.2
Assam,AS,SHE-AS,2021,45.7,42.9,70.0,38.7,61.2,49.2,49.6,49.2,46.2,50.2
Rajasthan,RJ,SHE-RJ,2021,44.7,44.9,59.0,38.7,63.2,47.7,49.6,49.2,46.2,50.2
Madhya Pradesh,MP,SHE-MP,2021,44.5,42.9,64.0,36.7,59.2,49.2,49.6,49.2,46.2,50.2
Jharkhand,JH,SHE-JH,2021,43.4,40.9,62.0,34.7,57.2,49.2,49.6,49.2,46.2,50.2
Bihar,BR,SHE-BR,2021,40.7,34.9,58.0,27.2,53.2,49.2,49.6,49.2,46.2,50.2
Uttar Pradesh,UP,SHE-UP,2021,40.4,32.9,58.0,27.7,53.2,49.2,49.6,49.2,46.2,50.2
Kerala,KL,SHE-KL,2022,59.5,77.0,93.2,61.9,86.9,49.4,49.7,49.4,46.6,50.1
Goa,GA,SHE-GA,2022,56.2,63.0,89.2,57.4,85.4,49.4,49.7,49.4,46.6,50.1
Tamil Nadu,TN,SHE-TN,2022,56.1,67.0,87.2,57.4,81.4,49.4,49.7,49.4,46.6,50.1
Mizoram,MZ,SHE-MZ,2022,53.7,57.0,89.2,49.4,79.4,49.4,49.7,49.4,46.6,50.1
Himachal Pradesh,HP,SHE-HP,2022,53.2,57.0,85.2,49.4,79.4,49.4,49.7,49.4,46.6,50.1
Meghalaya,ML,SHE-ML,2022,52.8,59.0,81.2,51.4,75.4,49.4,49.7,49.4,46.6,50.1
Telangana,TS,SHE-TS,2022,52.6,61.0,77.2,51.4,75.4,49.4,49.7,49.4,46.6,50.1
Karnataka,KA,SHE-KA,2022,52.5,59.0,77.2,53.4,75.4,49.4,49.7,49.4,46.6,50.1
Delhi,DL,SHE-DL,2022,52.3,53.0,83.2,51.4,77.4,49.4,49.7,49.4,46.6,50.1
Andhra Pradesh,AP,SHE-AP,2022,52.0,59.0,75.2,53.4,73.4,49.4,49.7,49.4,46.6,50.1
Maharashtra,MH,SHE-MH,2022,51.9,55.0,79.2,53.4,73.4,49.4,49.7,49.4,46.6,50.1
Manipur,MN,SHE-MN,2022,51.4,55.0,79.2,51.4,71.4,49.4,49.7,49.4,46.6,50.1
Gujarat,GJ,SHE-GJ,2022,51.1,51.0,77.2,53.4,73.4,49.4,49.7,49.4,46.6,50.1
Uttarakhand,UK,SHE-UK,2022,51.1,53.0,81.2,45.4,75.4,49.4,49.7,49.4,46.6,50.1
Punjab,PB,SHE-PB,2022,50.3,49.0,77.2,47.4,75.4,49.4,49.7,49.4,46.6,50.1
West Bengal,WB,SHE-WB,2022,49.2,51.0,74.7,43.9,69.4,49.9,49.7,49.4,46.6,50.1
Odisha,OD,SHE-OD,2022,46.9,47.0,69.2,39.4,65.4,49.4,49.7,49.4,46.6,50.1
Haryana,HR,SHE-HR,2022,46.7,41.0,71.2,43.4,65.4,49.4,49.7,49.4,46.6,50.1
Chhattisgarh,CG,SHE-CG,2022,45.9,47.0,67.2,37.4,61.4,49.4,49.7,49.4,46.6,50.1
Assam,AS,SHE-AS,2022,45.6,43.0,69.2,37.4,61.4,49.4,49.7,49.4,46.6,50.1
Rajasthan,RJ,SHE-RJ,2022,45.5,45.0,62.2,37.4,63.4,50.9,49.7,49.4,46.6,50.1
Madhya Pradesh,MP,SHE-MP,2022,44.4,43.0,63.2,35.4,59.4,49.4,49.7,49.4,46.6,50.1
Jharkhand,JH,SHE-JH,2022,43.3,41.0,61.2,33.4,57.4,49.4,49.7,49.4,46.6,50.1
Bihar,BR,SHE-BR,2022,40.9,35.0,57.2,28.9,53.4,49.4,49.7,49.4,46.6,50.1
Uttar Pradesh,UP,SHE-UP,2022,40.6,33.0,57.2,28.4,53.4,49.4,49.7,49.4,46.6,50.1
Kerala,KL,SHE-KL,2023,60.2,77.2,93.5,61.6,88.1,49.6,49.8,49.6,51.1,50.1
Goa,GA,SHE-GA,2023,56.9,63.2,89.5,57.6,85.6,49.6,49.8,49.6,51.1,50.1
Tamil Nadu,TN,SHE-TN,2023,56.8,67.2,87.5,57.6,81.6,49.6,49.8,49.6,51.1,50.1
Mizoram,MZ,SHE-MZ,2023,54.3,57.2,89.5,49.6,79.6,49.6,49.8,49.6,51.1,50.1
Himachal Pradesh,HP,SHE-HP,2023,53.8,57.2,85.5,49.6,79.6,49.6,49.8,49.6,51.1,50.1
Meghalaya,ML,SHE-ML,2023,53.4,59.2,81.5,51.6,75.6,49.6,49.8,49.6,51.1,50.1
Telangana,TS,SHE-TS,2023,53.2,61.2,77.5,51.6,75.6,49.6,49.8,49.6,51.1,50.1
Karnataka,KA,SHE-KA,2023,53.2,59.2,77.5,53.6,75.6,49.6,49.8,49.6,51.1,50.1
Delhi,DL,SHE-DL,2023,53.0,53.2,83.5,51.6,77.6,49.6,49.8,49.6,51.1,50.1
Andhra Pradesh,AP,SHE-AP,2023,52.7,59.2,75.5,53.6,73.6,49.6,49.8,49.6,51.1,50.1
Maharashtra,MH,SHE-MH,2023,52.6,55.2,79.5,53.6,73.6,49.6,49.8,49.6,51.1,50.1
Manipur,MN,SHE-MN,2023,52.1,55.2,79.5,51.6,71.6,49.6,49.8,49.6,51.1,50.1
Uttarakhand,UK,SHE-UK,2023,51.8,53.2,81.5,45.6,75.6,49.6,49.8,49.6,51.1,50.1
Gujarat,GJ,SHE-GJ,2023,51.7,51.2,77.5,53.6,73.6,49.6,49.8,49.6,51.1,50.1
Punjab,PB,SHE-PB,2023,50.9,49.2,77.5,47.6,75.6,49.6,49.8,49.6,51.1,50.1
West Bengal,WB,SHE-WB,2023,50.0,51.2,73.5,46.1,69.6,50.6,49.8,49.6,51.1,50.1
Odisha,OD,SHE-OD,2023,47.5,47.2,69.5,39.6,65.6,49.6,49.8,49.6,51.1,50.1
Haryana,HR,SHE-HR,2023,47.3,41.2,71.5,43.6,65.6,49.6,49.8,49.6,51.1,50.1
Chhattisgarh,CG,SHE-CG,2023,46.6,47.2,67.5,37.6,61.6,49.6,49.8,49.6,51.1,50.1
Assam,AS,SHE-AS,2023,46.2,43.2,69.5,37.6,61.6,49.6,49.8,49.6,51.1,50.1
Rajasthan,RJ,SHE-RJ,2023,45.7,45.2,60.5,37.6,63.6,49.6,49.8,49.6,51.1,50.1
Madhya Pradesh,MP,SHE-MP,2023,45.0,43.2,63.5,35.6,59.6,49.6,49.8,49.6,51.1,50.1
Jharkhand,JH,SHE-JH,2023,44.0,41.2,61.5,33.6,57.6,49.6,49.8,49.6,51.1,50.1
Bihar,BR,SHE-BR,2023,41.4,35.2,57.5,27.6,53.6,49.6,49.8,49.6,51.1,50.1
Uttar Pradesh,UP,SHE-UP,2023,41.1,33.2,57.5,27.6,53.6,49.6,49.8,49.6,51.1,50.1
Kerala,KL,SHE-KL,2024,60.3,78.3,93.8,61.8,87.8,49.8,49.9,49.8,49.5,50.0
Goa,GA,SHE-GA,2024,57.1,64.4,89.8,57.8,85.8,49.8,49.9,49.8,49.5,50.0
Tamil Nadu,TN,SHE-TN,2024,56.9,68.3,87.8,57.8,81.8,49.8,49.9,49.8,49.5,50.0
Mizoram,MZ,SHE-MZ,2024,54.5,58.4,89.8,49.8,79.8,49.8,49.9,49.8,49.5,50.0
