# SHEtoken SVI Historical Trends 2015-2024
# Sexual Violence Index — WHO prevalence based
# Key events: India 2013 law reform, MeToo 2017,
#   Japan consent law 2023, Afghanistan collapse 2021
# (c) 2026 SHE Foundation
#
iso_code,country,year,svi_score,rank,who_lifetime_prevalence_pct,reporting_gap_pct,legal_framework_score,support_services_score,impunity_score,marital_rape_criminalised,conflict_sv_risk_score
EGY,Egypt,2020,29.5,22,28.5,98.0,2.7,1.15,99.0,0,0
IRN,Iran,2020,28.9,23,24.75,101.0,1.6,0,103.0,0,0
NGA,Nigeria,2020,26.1,24,30.5,99.0,2.7,1.15,100.0,0,2
BGD,Bangladesh,2020,25.9,25,35.5,100.0,3.0,1.45,101.0,0,0
AFG,Afghanistan,2020,24.0,26,40.25,95.25,3.9,2.4,92.25,0,3
PAK,Pakistan,2020,23.9,27,32.5,100.0,1.7,0.15,101.0,0,1
IRQ,Iraq,2020,22.1,28,28.5,100.0,1.7,0.15,102.0,0,5
ETH,Ethiopia,2020,22.0,29,36.5,100.0,2.7,1.15,98.0,0,3.0
NER,Niger,2020,20.4,30,36.25,99.25,2.4,0.9,101.25,0,4
SDN,Sudan,2020,18.1,31,36.5,100.0,0.7,0.15,94.0,0,4.0
MMR,Myanmar,2020,17.0,32,30.5,100.0,1.7,0.15,102.0,0,9.0
PSE,Palestine,2020,16.4,33,34.75,100.0,1.6,0,102.0,0,7.0
YEM,Yemen,2020,13.8,34,32.25,100.25,0.9,0,102.25,0,10
SOM,Somalia,2020,8.1,35,46.25,100.25,0.9,0,102.25,0,8
CAF,CAR,2020,6.1,36,46.25,100.25,0.9,0,102.25,0,10
SSD,South Sudan,2020,5.0,37,48.25,100.25,0.9,0,102.25,0,10
COD,DRC,2020,3.2,38,52.25,99.25,0.9,0.4,103.25,0,11.0
NOR,Norway,2021,79.5,1,11.4,62.0,9.5,8.8,24.0,1,0
SWE,Sweden,2021,78.0,2,13.4,57.0,8.5,8.8,22.0,1,0
DNK,Denmark,2021,77.5,3,12.4,62.0,8.5,8.8,24.0,1,0
ISL,Iceland,2021,77.4,4,14.4,62.0,9.5,8.8,27.0,1,0
FIN,Finland,2021,75.9,5,11.4,67.0,8.5,7.8,30.0,1,0
DEU,Germany,2021,71.8,6,13.4,70.0,7.5,7.8,37.0,1,0
AUS,Australia,2021,68.8,7,18.4,82.0,8.5,7.8,37.0,1,0
GBR,UK,2021,66.0,8,20.4,83.5,7.8,8.0,40.0,1,0
CAN,Canada,2021,65.4,9,22.4,85.0,8.5,7.8,42.0,1,0
USA,USA,2021,61.3,10,18.4,92.0,7.5,7.8,67.0,1,0
KOR,South Korea,2021,60.0,11,13.4,92.0,6.5,5.8,77.0,1,0
TUR,Turkey,2021,50.2,12,22.6,95.6,5.68,3.6,89.6,1,0
BRA,Brazil,2021,49.8,13,30.6,91.6,6.68,5.6,83.6,1,0
PHL,Philippines,2021,48.7,14,24.6,91.6,5.68,3.6,89.6,1,1
COL,Colombia,2021,43.0,15,30.6,90.6,5.18,4.1,83.6,1,4
JPN,Japan,2021,42.7,16,10.4,100.0,3.5,4.8,95.0,0,0
ZAF,South Africa,2021,42.3,17,38.6,93.6,5.68,4.6,89.6,1,0
MEX,Mexico,2021,41.3,18,32.6,93.6,4.68,3.6,91.6,1,2
KEN,Kenya,2021,38.9,19,33.6,98.6,4.68,2.6,95.6,1,2
IND,India,2021,33.6,20,28.6,100.6,4.98,2.4,96.6,0,0
IDN,Indonesia,2021,32.0,21,26.6,98.6,3.68,2.6,96.6,0,1
EGY,Egypt,2021,30.3,22,28.4,97.8,2.76,1.72,96.8,0,0
IRN,Iran,2021,29.4,23,24.6,100.6,1.68,0.6,100.6,0,0
NGA,Nigeria,2021,26.9,24,30.4,98.8,2.76,1.72,97.8,0,2
BGD,Bangladesh,2021,26.5,25,35.4,99.8,3.06,2.02,98.8,0,0
PAK,Pakistan,2021,24.5,26,32.4,99.8,1.76,0.72,98.8,0,1
IRQ,Iraq,2021,22.6,27,28.4,99.8,1.76,0.72,99.8,0,5
NER,Niger,2021,20.8,28,36.2,99.2,2.42,1.42,99.2,0,4
ETH,Ethiopia,2021,20.2,29,36.4,99.8,2.76,1.72,101.8,0,5.0
SDN,Sudan,2021,18.9,30,36.4,99.8,0.76,0.72,91.8,0,4.0
MMR,Myanmar,2021,18.5,31,30.4,99.8,1.76,0.72,99.8,0,8
PSE,Palestine,2021,17.1,32,34.6,99.6,1.68,0.6,99.6,0,7.0
AFG,Afghanistan,2021,15.1,33,40.2,105.2,0,0,110.2,0,3
YEM,Yemen,2021,13.8,34,32.2,100.2,0.92,0,100.2,0,10
SOM,Somalia,2021,8.2,35,46.2,100.2,0.92,0,100.2,0,8
CAF,CAR,2021,6.2,36,46.2,100.2,0.92,0,100.2,0,10
SSD,South Sudan,2021,5.1,37,48.2,100.2,0.92,0,100.2,0,10
COD,DRC,2021,3.6,38,52.2,99.2,0.92,0.92,99.2,0,10
NOR,Norway,2022,79.8,1,11.3,61.5,9.55,8.85,23.5,1,0
SWE,Sweden,2022,78.3,2,13.3,56.5,8.55,8.85,21.5,1,0
DNK,Denmark,2022,77.8,3,12.3,61.5,8.55,8.85,23.5,1,0
ISL,Iceland,2022,77.7,4,14.3,61.5,9.55,8.85,26.5,1,0
FIN,Finland,2022,76.2,5,11.3,66.5,8.55,7.85,29.5,1,0
DEU,Germany,2022,72.1,6,13.3,69.5,7.55,7.85,36.5,1,0
AUS,Australia,2022,69.1,7,18.3,81.5,8.55,7.85,36.5,1,0
GBR,UK,2022,66.9,8,20.3,84.5,8.55,7.55,39.5,1,0
CAN,Canada,2022,65.7,9,22.3,84.5,8.55,7.85,41.5,1,0
USA,USA,2022,61.6,10,18.3,91.5,7.55,7.85,66.5,1,0
KOR,South Korea,2022,60.3,11,13.3,91.5,6.55,5.85,76.5,1,0
TUR,Turkey,2022,50.6,12,22.45,95.2,5.76,3.7,89.2,1,0
BRA,Brazil,2022,50.2,13,30.45,91.2,6.76,5.7,83.2,1,0
PHL,Philippines,2022,49.1,14,24.45,91.2,5.76,3.7,89.2,1,1
COL,Colombia,2022,45.7,15,30.45,88.2,6.26,5.2,83.2,1,4
JPN,Japan,2022,43.0,16,10.3,99.5,3.55,4.85,94.5,0,0
ZAF,South Africa,2022,42.7,17,38.45,93.2,5.76,4.7,89.2,1,0
MEX,Mexico,2022,41.6,18,32.45,93.2,4.76,3.7,91.2,1,2
KEN,Kenya,2022,39.2,19,33.45,98.2,4.76,2.7,95.2,1,2
IND,India,2022,33.3,20,28.45,100.2,4.76,2.2,96.2,0,0
IDN,Indonesia,2022,32.4,21,26.45,98.2,3.76,2.7,96.2,0,1
EGY,Egypt,2022,30.6,22,28.3,97.6,2.82,1.79,96.6,0,0
IRN,Iran,2022,29.7,23,24.45,100.2,1.76,0.7,100.2,0,0
NGA,Nigeria,2022,27.2,24,30.3,98.6,2.82,1.79,97.6,0,2
BGD,Bangladesh,2022,26.7,25,35.3,99.6,3.12,2.09,98.6,0,0
PAK,Pakistan,2022,24.8,26,32.3,99.6,1.82,0.79,98.6,0,1
IRQ,Iraq,2022,22.8,27,28.3,99.6,1.82,0.79,99.6,0,5
ETH,Ethiopia,2022,22.6,28,36.3,99.6,2.82,1.79,98.6,0,3
NER,Niger,2022,20.9,29,36.15,99.15,2.44,1.44,99.15,0,4
MMR,Myanmar,2022,18.7,30,30.3,99.6,1.82,0.79,99.6,0,8
AFG,Afghanistan,2022,16.5,31,40.15,100.15,0.94,0,100.15,0,3
PSE,Palestine,2022,14.4,32,34.45,99.2,1.76,0.7,99.2,0,11.0
YEM,Yemen,2022,13.9,33,32.15,100.15,0.94,0,100.15,0,10
SDN,Sudan,2022,11.9,34,36.3,99.6,0.82,0.79,101.6,0,10.0
SOM,Somalia,2022,8.2,35,46.15,100.15,0.94,0,100.15,0,8
CAF,CAR,2022,6.2,36,46.15,100.15,0.94,0,100.15,0,10
SSD,South Sudan,2022,5.1,37,48.15,100.15,0.94,0,100.15,0,10
COD,DRC,2022,3.7,38,52.15,99.15,0.94,0.94,99.15,0,10
NOR,Norway,2023,80.1,1,11.2,61.0,9.6,8.9,23.0,1,0
SWE,Sweden,2023,78.6,2,13.2,56.0,8.6,8.9,21.0,1,0
DNK,Denmark,2023,78.1,3,12.2,61.0,8.6,8.9,23.0,1,0
ISL,Iceland,2023,78.1,4,14.2,61.0,9.6,8.9,26.0,1,0
FIN,Finland,2023,76.5,5,11.2,66.0,8.6,7.9,29.0,1,0
DEU,Germany,2023,72.4,6,13.2,69.0,7.6,7.9,36.0,1,0
AUS,Australia,2023,69.4,7,18.2,81.0,8.6,7.9,36.0,1,0
GBR,UK,2023,68.3,8,20.2,84.0,9.1,8.2,39.0,1,0
CAN,Canada,2023,66.0,9,22.2,84.0,8.6,7.9,41.0,1,0
USA,USA,2023,61.9,10,18.2,91.0,7.6,7.9,66.0,1,0
KOR,South Korea,2023,60.6,11,13.2,91.0,6.6,5.9,76.0,1,0
JPN,Japan,2023,51.7,12,10.2,93.0,7.6,4.9,84.0,0,0
TUR,Turkey,2023,51.0,13,22.3,94.8,5.84,3.8,88.8,1,0
BRA,Brazil,2023,50.6,14,30.3,90.8,6.84,5.8,82.8,1,0
PHL,Philippines,2023,49.5,15,24.3,90.8,5.84,3.8,88.8,1,1
COL,Colombia,2023,44.9,16,30.3,88.8,5.84,4.8,82.8,1,4
ZAF,South Africa,2023,43.0,17,38.3,92.8,5.84,4.8,88.8,1,0
MEX,Mexico,2023,42.0,18,32.3,92.8,4.84,3.8,90.8,1,2
KEN,Kenya,2023,39.6,19,33.3,97.8,4.84,2.8,94.8,1,2
IND,India,2023,34.4,20,28.3,97.8,4.84,3.3,95.8,0,0
IDN,Indonesia,2023,32.8,21,26.3,97.8,3.84,2.8,95.8,0,1
