# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-04T06:38:29.949153+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,wei_score_baseline,wei_score_live,signal_count_this_week,last_signal_week,wei_data_type
11,Germany,DEU,Europe,1,83.2,84,95,81,95,90,85,87,89,12,86.9,1.0,SHE-DEU,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,86.9,86.9,0,,baseline
12,Ireland,IRL,Europe,1,5.1,82,97,80,97,88,84,87,88,11,86.5,1.0,SHE-IRL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,86.5,86.5,0,,baseline
13,Australia,AUS,Oceania,1,25.9,82,96,79,96,90,83,86,88,16,85.7,1.0,SHE-AUS,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,85.7,85.7,0,,baseline
14,Belgium,BEL,Europe,1,11.5,80,96,80,96,88,83,86,87,13,85.5,1.0,SHE-BEL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,85.5,85.5,0,,baseline
15,Slovenia,SVN,Europe,1,2.1,80,96,76,95,86,84,85,86,10,84.8,1.0,SHE-SVN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,84.8,84.8,0,,baseline
16,Austria,AUT,Europe,1,9.0,79,95,79,96,87,82,85,86,12,84.7,1.0,SHE-AUT,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,84.7,84.7,0,,baseline
17,United Kingdom,GBR,Europe,1,67.0,79,96,78,95,87,82,84,87,16,84.2,1.0,SHE-GBR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,84.2,84.2,0,,baseline
18,Lithuania,LTU,Europe,1,2.8,78,96,76,94,86,82,84,86,12,83.8,1.0,SHE-LTU,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,83.8,83.8,0,,baseline
19,France,FRA,Europe,1,67.4,78,95,78,95,86,81,84,86,15,83.6,1.0,SHE-FRA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,83.6,83.6,0,,baseline
20,Spain,ESP,Europe,1,47.4,76,96,76,95,85,81,83,85,14,82.9,1.0,SHE-ESP,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,82.9,82.9,0,,baseline
21,Czech Republic,CZE,Europe,1,10.9,76,96,74,95,84,80,82,84,12,82.4,1.0,SHE-CZE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,82.4,82.4,0,,baseline
22,Latvia,LVA,Europe,1,1.8,76,96,74,94,84,80,82,84,14,82.1,1.0,SHE-LVA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,82.1,82.1,0,,baseline
23,Portugal,PRT,Europe,1,10.3,74,95,74,94,84,80,82,83,13,81.7,1.0,SHE-PRT,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,81.7,81.7,0,,baseline
24,United States,USA,N. America,1,331.0,77,96,73,93,82,78,82,86,20,81.0,1.0,SHE-USA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,81.0,81.0,0,,baseline
25,Japan,JPN,Asia,1,125.7,68,97,71,98,80,78,82,85,7,81.0,1.0,SHE-JPN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,81.0,81.0,0,,baseline
26,Israel,ISR,Middle East,1,9.3,72,96,74,95,78,76,78,82,15,79.4,1.0,SHE-ISR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,79.4,79.4,0,,baseline
27,South Korea,KOR,Asia,1,51.7,65,97,68,97,78,76,80,82,11,78.6,1.0,SHE-KOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,78.6,78.6,0,,baseline
28,Barbados,BRB,Caribbean,1,0.3,74,96,70,92,78,74,76,78,18,77.7,1.0,SHE-BRB,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,77.7,77.7,0,,baseline
29,Uruguay,URY,S. America,1,3.5,72,95,68,93,78,74,76,78,26,76.4,1.0,SHE-URY,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,76.4,76.4,0,,baseline
30,Costa Rica,CRI,C. America,1,5.2,72,94,66,92,76,72,74,76,22,75.3,1.0,SHE-CRI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,75.3,75.3,0,,baseline
31,Cuba,CUB,Caribbean,2,11.3,70,94,56,88,68,64,66,64,20,69.2,1.0,SHE-CUB,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,69.2,69.2,0,,baseline
32,China,CHN,Asia,2,1412.0,62,93,64,90,62,62,64,68,22,67.9,1.0,SHE-CHN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,67.9,67.9,0,,baseline
33,Argentina,ARG,S. America,2,45.4,60,93,58,91,70,62,66,70,36,67.2,1.0,SHE-ARG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,67.2,67.2,0,,baseline
34,Ukraine,UKR,Europe,2,43.5,58,93,62,90,66,60,64,68,28,66.8,1.0,SHE-UKR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,66.8,66.8,0,,baseline
35,Chile,CHL,S. America,2,19.1,58,92,57,90,68,60,64,68,34,65.8,1.0,SHE-CHL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,65.8,65.8,0,,baseline
36,Russia,RUS,Europe,2,144.1,56,92,60,88,62,56,60,64,26,64.1,1.0,SHE-RUS,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,64.1,64.1,0,,baseline
37,Kazakhstan,KAZ,Central Asia,2,19.1,54,92,60,88,60,58,60,62,26,63.6,1.0,SHE-KAZ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,63.6,63.6,0,,baseline
38,Philippines,PHL,Asia,2,111.0,65,91,58,82,60,56,58,62,32,63.1,1.0,SHE-PHL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,63.1,63.1,0,,baseline
39,Vietnam,VNM,Asia,2,97.3,58,90,56,88,56,58,58,60,20,63.1,1.0,SHE-VNM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,63.1,63.1,0,,baseline
40,Thailand,THA,Asia,2,71.6,57,88,58,88,58,56,58,62,26,62.6,1.0,SHE-THA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,62.6,62.6,0,,baseline
41,Sri Lanka,LKA,Asia,2,22.2,56,92,52,85,58,54,56,58,26,60.9,1.0,SHE-LKA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,60.9,60.9,0,,baseline
42,Brazil,BRA,S. America,2,213.0,55,90,54,88,62.0,54,58,62,44,60.6,1.0,SHE-BRA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,60.9,60.6,1,2026-W19,live_signal
43,Colombia,COL,S. America,2,51.0,52,90,50,87,58.0,54,58,62,42,59.1,1.0,SHE-COL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,59.4,59.1,1,2026-W19,live_signal
44,Mongolia,MNG,Asia,2,3.3,55,91,52,84,54,52,54,58,36,58.5,1.0,SHE-MNG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,58.5,58.5,0,,baseline
45,Mexico,MEX,N. America,2,128.9,51,88,48,85,58,50,56,60,44.0,57.1,1.0,SHE-MEX,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,56.9,57.1,1,2026-W19,live_signal
46,Rwanda,RWA,Africa,2,13.5,64,84,48,72,52,54,52,50,34,56.2,1.0,SHE-RWA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,56.2,56.2,0,,baseline
47,Turkey,TUR,Europe/Asia,2,84.3,48,82,52,86,52,50,54,58,34,56.2,1.0,SHE-TUR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,56.2,56.2,0,,baseline
48,Bolivia,BOL,S. America,2,11.8,52,88,48,82,52,50,52,54,40,55.4,1.0,SHE-BOL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,55.4,55.4,0,,baseline
49,Namibia,NAM,Africa,2,2.6,58,88,50,76,52,52,52,56,50,55.3,1.0,SHE-NAM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,55.3,55.3,0,,baseline
50,Tunisia,TUN,Africa,2,12.0,46,85,48,82,50,50,52,56,28,55.2,1.0,SHE-TUN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,55.2,55.2,0,,baseline
51,Botswana,BWA,Africa,2,2.6,56,87,52,74,52,50,52,54,46,54.8,1.0,SHE-BWA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,54.8,54.8,0,,baseline
52,Peru,PER,S. America,2,32.9,50,88,48,82,50,50,52,54,40,54.8,1.0,SHE-PER,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,54.8,54.8,0,,baseline
53,Indonesia,IDN,Asia,2,273.5,44,82,48,78,50,48,50,54,30,53.2,1.0,SHE-IDN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,53.2,53.2,0,,baseline
54,South Africa,ZAF,Africa,2,60.0,56,85,50,78,54,46,52,56,70,52.3,1.0,SHE-ZAF,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,52.3,52.3,0,,baseline
55,Saudi Arabia,SAU,Middle East,2,35.9,38,84,50,86,42,40,48,58,28,51.8,1.0,SHE-SAU,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,51.8,51.8,0,,baseline
56,Honduras,HND,C. America,2,10.3,48,85,46,80,48,46,48,50,54,50.6,1.0,SHE-HND,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,50.6,50.6,0,,baseline
57,Morocco,MAR,Africa,2,37.1,40,76,42,80,44,46,46,48,26,49.6,1.0,SHE-MAR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,49.6,49.6,0,,baseline
58,Kenya,KEN,Africa,2,54.0,48,80,44,68,44,44,44,46,40,48.0,1.0,SHE-KEN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,48.0,48.0,0,,baseline
59,Ghana,GHA,Africa,2,32.4,45,82,42,70,42,44,44,46,36,47.9,1.0,SHE-GHA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,47.9,47.9,0,,baseline
60,India,IND,Asia,2,1408.0,48,74,42,68,40.0,46.0,44,48,38,47.1,1.0,SHE-IND,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,47.7,47.1,2,2026-W19,live_signal
61,El Salvador,SLV,C. America,2,6.5,44,82,42,78,36,40,42,48,52,45.6,1.0,SHE-SLV,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,45.6,45.6,0,,baseline
62,Venezuela,VEN,S. America,2,28.3,44,84,30,72,46,40,40,48,48,45.4,1.0,SHE-VEN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,45.4,45.4,0,,baseline
63,Senegal,SEN,Africa,2,17.2,42,66,40,68,34,40,38,40,34,42.3,1.0,SHE-SEN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,42.3,42.3,0,,baseline
64,Timor-Leste,TLS,Asia,2,1.3,42,68,34,70,36,38,36,36,38,41.1,1.0,SHE-TLS,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,41.1,41.1,0,,baseline
65,Cambodia,KHM,Asia,3,16.7,32,74,38,72,34,34,34,36,32,40.5,0.8,SHE-KHM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,40.5,40.5,0,,baseline
66,Bangladesh,BGD,Asia,3,166.3,38,70,36,68,32,36,34,38,38,39.8,0.8,SHE-BGD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,39.8,39.8,0,,baseline
67,Laos,LAO,Asia,3,7.3,32,72,36,70,30,32,32,34,28,38.9,0.8,SHE-LAO,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,38.9,38.9,0,,baseline
68,Myanmar,MMR,Asia,3,54.4,34,72,38,70,32,32,34,36,42,38.8,0.8,SHE-MMR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,38.8,38.8,0,,baseline
69,Jordan,JOR,Middle East,3,10.2,24,80,30,80,28,30,30,36,26,38.8,0.8,SHE-JOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,38.8,38.8,0,,baseline
70,Nepal,NPL,Asia,3,29.7,36,68,34,66,30,34,32,36,34,38.2,0.8,SHE-NPL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,38.2,38.2,0,,baseline
71,Guatemala,GTM,C. America,3,17.1,34,70,36,74,30,30,30,34,50,36.8,0.8,SHE-GTM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,36.8,36.8,0,,baseline
72,Malawi,MWI,Africa,2,20.4,44,68,34,60,28,34,30,28,40,36.8,1.0,SHE-MWI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,36.8,36.8,0,,baseline
73,Liberia,LBR,Africa,2,5.2,44,62,34,56,26,32,28,28,38,35.0,1.0,SHE-LBR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,35.0,35.0,0,,baseline
74,Egypt,EGY,Middle East,3,102.3,24,70,32,74,22,28,28,32,30,34.9,0.8,SHE-EGY,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,34.9,34.9,0,,baseline
75,Iran,IRN,Middle East,2,87.9,22,78,30,80,18,22,24,30,32,33.8,1.0,SHE-IRN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,33.8,33.8,0,,baseline
76,Zimbabwe,ZWE,Africa,3,15.1,32,72,30,58,24,28,24,28,48,31.9,0.8,SHE-ZWE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,31.9,31.9,0,,baseline
77,Palestine,PSE,Middle East,3,5.4,28,72,20,68,28,24,22,28,46,31.4,0.8,SHE-PSE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,31.4,31.4,0,,baseline
78,Uganda,UGA,Africa,3,47.1,34,66,30,56,24,28,24,28,50,31.1,0.8,SHE-UGA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,31.1,31.1,0,,baseline
79,Tanzania,TZA,Africa,3,61.5,30,64,32,58,22,26,22,26,44,30.3,0.8,SHE-TZA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,30.3,30.3,0,,baseline
80,Zambia,ZMB,Africa,3,18.9,30,64,32,56,22,26,22,26,46,29.9,0.8,SHE-ZMB,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,29.9,29.9,0,,baseline
81,Nigeria,NGA,Africa,3,213.4,28,60,30,52,20,24,22,26,46,27.8,0.8,SHE-NGA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.8,27.8,0,,baseline
82,Papua New Guinea,PNG,Oceania,3,9.1,26,60,28,58,22,24,24,28,58,27.5,0.8,SHE-PNG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.5,27.5,0,,baseline
83,Cameroon,CMR,Africa,3,27.2,28,60,28,52,18,24,20,24,42,27.3,0.8,SHE-CMR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.3,27.3,0,,baseline
84,Iraq,IRQ,Middle East,3,40.2,18,58,22,70,18,22,20,22,34,27.3,0.8,SHE-IRQ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.3,27.3,0,,baseline
85,Mozambique,MOZ,Africa,3,32.2,28,58,28,52,20,24,20,24,44,27.1,0.8,SHE-MOZ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.1,27.1,0,,baseline
86,Ethiopia,ETH,Africa,3,117.9,26,55,28,52,18,24,20,24,36,27.0,0.8,SHE-ETH,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,27.0,27.0,0,,baseline
87,Libya,LBY,Middle East,3,7.0,18,64,22,68,20,18,18,24,42,26.7,0.8,SHE-LBY,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,26.7,26.7,0,,baseline
88,Pakistan,PAK,Asia,3,225.2,24,50,28,62,18,22,20,24,42,26.4,0.8,SHE-PAK,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,26.4,26.4,0,,baseline
89,Ivory Coast,CIV,Africa,3,26.4,26,58,28,50,16,22,20,22,38,26.1,0.8,SHE-CIV,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,26.1,26.1,0,,baseline
90,Haiti,HTI,Caribbean,3,11.4,24,56,26,46,20,22,20,22,46,24.6,0.8,SHE-HTI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,24.6,24.6,0,,baseline
91,Sierra Leone,SLE,Africa,3,8.1,26,48,28,46,12,18,16,20,44,22.1,0.8,SHE-SLE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,22.1,22.1,0,,baseline
92,Sudan,SDN,Africa,3,44.9,16,42,20,48,12,18,16,18,34,19.9,0.8,SHE-SDN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,19.9,19.9,0,,baseline
93,Guinea,GIN,Africa,3,13.5,22,38,30,46,8,18,14,18,48,19.1,0.8,SHE-GIN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,19.1,19.1,0,,baseline
94,Burkina Faso,BFA,Africa,3,22.1,18,38,24,46,14,14,12,14,40,18.3,0.8,SHE-BFA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,18.3,18.3,0,,baseline
95,Syria,SYR,Middle East,4,21.3,16,44,16,46,12,12,10,14,50,16.0,0.6,SHE-SYR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,16.0,16.0,0,,baseline
96,Eritrea,ERI,Africa,3,3.5,12,40,22,48,10,10,8,10,42,15.5,0.8,SHE-ERI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,15.5,15.5,0,,baseline
97,Mali,MLI,Africa,4,22.4,14,36,16,38,8,10,8,12,38,13.7,0.6,SHE-MLI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,13.7,13.7,0,,baseline
98,DRC,COD,Africa,4,95.9,14,38,14,36,10,12,8,14,60,12.0,0.6,SHE-COD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,12.0,12.0,0,,baseline
99,Chad,TCD,Africa,4,16.9,12,28,14,32,6,8,6,10,40,10.3,0.6,SHE-TCD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,10.3,10.3,0,,baseline
100,Yemen,YEM,Middle East,4,33.7,10,28,12,38,8,10,8,10,54,9.9,0.6,SHE-YEM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,9.9,9.9,0,,baseline
101,Niger,NER,Africa,4,25.1,10,24,12,30,5,8,6,10,34,9.5,0.6,SHE-NER,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,9.5,9.5,0,,baseline
102,South Sudan,SSD,Africa,4,11.2,14,28,14,30,8,8,6,10,52,9.5,0.6,SHE-SSD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,9.5,9.5,0,,baseline
103,Central African Republic,CAF,Africa,4,4.8,12,30,14,32,8,8,6,10,54,9.4,0.6,SHE-CAF,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,9.4,9.4,0,,baseline
104,Afghanistan,AFG,Asia,4,40.1,6,18,8,32,4,8,6,5,46,6.1,0.6,SHE-AFG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,6.1,6.1,0,,baseline
105,Somalia,SOM,Africa,4,17.1,8,20,10,28,4,6,4,8,56,5.2,0.6,SHE-SOM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores,5.2,5.2,0,,baseline
