# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-04T06:38:29.990270+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,state,state_code,ticker,zone,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,watch,country,year,wei_version,verified,notes,wei_score_baseline,signal_count_this_week,wei_data_type
23,Kano,KN,SHE-NG-KN,North West,13.1,24,46,26,44,14,20,16,18,58,20.0,20.2,-0.2,false,false,Nigeria,2025,3.0,false,,20.0,0,baseline
24,Adamawa,AD,SHE-NG-AD,North East,4.2,22,44,22,44,14,18,16,16,52,19.1,19.1,0.0,false,false,Nigeria,2025,3.0,false,,19.1,0,baseline
25,Taraba,TA,SHE-NG-TA,North East,3.1,22,44,22,44,14,18,14,14,52,18.7,18.7,0.0,false,false,Nigeria,2025,3.0,false,,18.7,0,baseline
26,Sokoto,SO,SHE-NG-SO,North West,4.9,20,40,22,42,10,18,14,14,56,16.7,17.0,-0.3,false,false,Nigeria,2025,3.0,false,,16.7,0,baseline
27,Gombe,GM,SHE-NG-GM,North East,3.3,20,42,20,42,10,16,12,12,54,16.2,16.2,0.0,false,false,Nigeria,2025,3.0,false,,16.2,0,baseline
28,Katsina,KT,SHE-NG-KT,North West,8.0,18,38,22,40,8,16,14,12,54,15.3,15.3,0.0,false,true,Nigeria,2025,3.0,false,,15.3,0,baseline
29,Kebbi,KB,SHE-NG-KB,North West,4.4,18,38,20,40,8,16,12,12,54,14.9,14.9,0.0,false,true,Nigeria,2025,3.0,false,,14.9,0,baseline
30,Jigawa,JI,SHE-NG-JI,North West,5.8,18,38,20,40,8,14,12,10,52,14.6,14.6,0.0,false,false,Nigeria,2025,3.0,false,,14.6,0,baseline
31,Bauchi,BA,SHE-NG-BA,North East,7.2,18,38,20,40,8,14,12,10,54,14.4,14.4,0.0,false,false,Nigeria,2025,3.0,false,,14.4,0,baseline
32,Yobe,YO,SHE-NG-YO,North East,3.3,16,34,18,38,6,14,10,10,56,12.5,12.5,0.0,false,true,Nigeria,2025,3.0,false,,12.5,0,baseline
33,Zamfara,ZM,SHE-NG-ZM,North West,4.5,14,34,18,38,4,14,10,8,56,11.7,12.1,-0.4,false,true,Nigeria,2025,3.0,false,,11.7,0,baseline
34,Borno,BO,SHE-NG-BO,North East,6.0,14,32,16,36,6,12,8,8,60,10.4,11.0,-0.6,false,true,Nigeria,2025,3.0,false,,10.4,0,baseline
