# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-04T06:38:29.997221+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,watch,feminist_emergency,country,year,wei_version,verified,notes,wei_score_baseline,signal_count_this_week,wei_data_type
13,Tlaxcala,TL,SHE-MX-TL,Center,1.4,48,78,44,70,52,46,48,50,36,50.7,50.7,0.0,false,false,false,Mexico,2025,3.0,false,,50.7,0,baseline
14,Baja California Sur,BS,SHE-MX-BS,North,0.8,48,78,48,72,52,44,48,54,44,50.7,50.7,0.0,false,false,false,Mexico,2025,3.0,false,,50.7,0,baseline
15,Campeche,CM,SHE-MX-CM,South,1.0,46,76,44,70,50,48,48,50,34,50.3,50.3,0.0,false,false,false,Mexico,2025,3.0,false,,50.3,0,baseline
16,Tabasco,TB,SHE-MX-TB,South,2.4,46,76,42,68,50,44,46,48,42,48.1,48.1,0.0,false,false,false,Mexico,2025,3.0,false,,48.1,0,baseline
17,Quintana Roo,QR,SHE-MX-QR,South,1.9,46,76,46,70,50,40,44,52,48,47.8,47.8,0.0,false,false,false,Mexico,2025,3.0,false,,47.8,0,baseline
18,Puebla,PU,SHE-MX-PU,Center,6.6,44,74,42,68,48,42,44,46,46,46.2,46.2,0.0,false,false,false,Mexico,2025,3.0,false,,46.2,0,baseline
19,Veracruz,VE,SHE-MX-VE,Gulf,8.1,44,74,42,68,48,42,44,46,48,46.0,46.0,0.0,false,false,true,Mexico,2025,3.0,false,,46.0,0,baseline
20,Estado de Mexico,ME,SHE-MX-ME,Center,17.4,44,74,44,68,48,40,44,48,50,45.9,45.9,0.0,false,false,true,Mexico,2025,3.0,false,,45.9,0,baseline
21,Nayarit,NA,SHE-MX-NA,West,1.2,44,74,42,68,46,40,42,44,46,45.2,45.2,0.0,false,false,false,Mexico,2025,3.0,false,,45.2,0,baseline
22,Tamaulipas,TM,SHE-MX-TM,North,3.6,44,74,46,68,46,36,42,46,58,44.1,44.1,0.0,false,true,false,Mexico,2025,3.0,false,,44.1,0,baseline
23,Sinaloa,SI,SHE-MX-SI,North,3.0,44,74,44,68,46,36,40,44,58,43.5,43.5,0.0,false,false,false,Mexico,2025,3.0,false,,43.5,0,baseline
24,Durango,DU,SHE-MX-DU,North,1.8,42,72,40,66,44,38,40,40,50,42.6,42.6,0.0,false,false,false,Mexico,2025,3.0,false,,42.6,0,baseline
25,Michoacan,MI,SHE-MX-MI,West,4.7,42,72,40,66,44,38,40,42,54,42.4,42.4,0.0,false,false,false,Mexico,2025,3.0,false,,42.4,0,baseline
26,Zacatecas,ZA,SHE-MX-ZA,North,1.6,42,72,40,66,44,36,40,40,52,42.1,42.1,0.0,false,false,true,Mexico,2025,3.0,false,,42.1,0,baseline
27,Morelos,MO,SHE-MX-MO,Center,2.0,42,74,42,68,46,32,40,44,64,41.8,42.4,-0.6,false,true,true,Mexico,2025,3.0,false,,41.8,0,baseline
28,Colima,CL,SHE-MX-CL,West,0.8,42,74,44,70,46,30,40,46,70,41.6,42.6,-1.0,false,true,false,Mexico,2025,3.0,false,,41.6,0,baseline
29,Oaxaca,OA,SHE-MX-OA,South,4.1,38,68,34,62,44,38,38,36,46,40.1,40.1,0.0,false,false,false,Mexico,2025,3.0,false,,40.1,0,baseline
30,Chiapas,CS,SHE-MX-CS,South,5.7,34,64,30,60,40,38,36,32,42,37.5,37.5,0.0,false,false,false,Mexico,2025,3.0,false,,37.5,0,baseline
31,Guerrero,GR,SHE-MX-GR,South,3.6,34,64,30,56,36,28,32,30,66,32.0,32.8,-0.8,false,true,true,Mexico,2025,3.0,false,,32.0,0,baseline
