# SHEtoken Sexual Violence Index (SVI) — 2025
# PRIMARY MEASURE: WHO survey-based lifetime prevalence (NOT police reports)
# Reason: Police statistics severely undercount rape globally.
# High reported rate = better reporting infrastructure, NOT more rape.
# Reporting gap = % of incidents estimated NOT reported to police.
# SVI score: 100=safest, 0=most dangerous
#
# CRITICAL: Marital rape not criminalised in 36 countries.
# CRITICAL: Conflict-related sexual violence tracked separately.
# CRITICAL: Caste/ethnic targeting documented for India (Dalit women),
#           Canada/USA (indigenous women), South Africa, DRC.
#
# Sources: WHO Multi-Country Study, UNODC, UNHCR SGBV reports,
#          HRW country reports, national crime surveys (NCVS, NCRB etc.)
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,who_lifetime_prevalence_pct,unodc_reported_rate_per_100k,reporting_gap_pct,estimated_actual_rate_per_100k,marital_rape_criminalised,marital_rape_prevalence_pct,conflict_sv_risk_score,digital_sv_rate_pct,impunity_score,caste_ethnic_targeting,indigenous_women_elevated_risk,police_responsiveness_score,legal_framework_score,support_services_score,svi_score,notes,year
23,Iran,IRN,Middle East,24.0,2,99,200,0,18.0,0,20,99,0,0,1,2,1,30.7,Marital rape legal. Morality police rape documented in custody. Mahsa Amini case — rape in detention.,2025
24,Nigeria,NGA,Africa,30.0,4,98,200,0,18.0,2,28,97,0,0,1,3,2,27.9,Extreme underreporting. SGBV weaponised by Boko Haram. Police routinely demand money from survivors. VAPP Act 2015 rarely enforced.,2025
25,Bangladesh,BGD,South Asia,35.0,3,99,300,0,22.0,0,20,98,0,0,1,3,2,26.9,Near-zero reporting. Acid attacks as reprisal against women who report. Marital rape not criminalised.,2025
26,Pakistan,PAK,South Asia,32.0,2,99,200,0,24.0,1,20,99,0,0,1,2,1,25.3,Near-zero reporting. Honour-based violence against survivors. Two-finger test abolished 2021 but culture persists. Blasphemy law used against survivors.,2025
27,Iraq,IRQ,Middle East,28.0,3,99,300,0,20.0,5,18,99,0,0,1,2,1,23.5,ISIS systematic rape of Yazidi women. Marital rape not criminalised. Honour killing as response to rape.,2025
28,Ethiopia,ETH,Africa,36.0,3,99,300,0,22.0,3,22,98,0,0,1,3,2,23.3,Tigray conflict: CRSV documented by UN. Police complicity in some regions.,2025
29,Niger,NER,Africa,36.0,2,99,200,0,22.0,4,14,99,0,0,0,2,1,20.2,Child marriage + marital rape near-universal for girls. Post-coup security vacuum.,2025
30,Myanmar,MMR,SE Asia,30.0,4,99,400,0,18.0,8,20,99,0,0,1,2,1,19.4,Military rape documented in Rohingya genocide. ICC investigations ongoing.,2025
31,Afghanistan,AFG,South Asia,40.0,1,100,100,0,30.0,3,12,100,0,0,0,1,0,16.7,Taliban ended all women's reporting mechanisms. No functioning legal system for women. Marital rape encouraged by Taliban interpretation of law.,2025
32,Palestine,PSE,Middle East,34.0,4,98,200,0,20.0,9,16,98,0,0,0,2,1,16.6,Conflict-related. Gaza crisis: shelter conditions. West Bank: settler violence.,2025
33,Yemen,YEM,Middle East,32.0,1,100,100,0,24.0,10,14,100,0,0,0,1,0,14.0,Active conflict. Houthi and coalition forces documented CRSV. Near-zero reporting infrastructure.,2025
34,Sudan,SDN,Africa,36.0,3,99,300,0,22.0,9,18,99,0,0,0,1,1,13.7,Active conflict — RSF documented mass rape in Darfur. 2023 conflict new atrocities.,2025
35,Somalia,SOM,Africa,46.0,2,100,200,0,28.0,8,14,100,0,0,0,1,0,8.4,Highest estimated prevalence. Al-Shabaab uses SGBV systematically. Near-zero legal infrastructure.,2025
36,CAR,CAF,Africa,46.0,3,100,300,0,28.0,10,12,100,0,0,0,1,0,6.4,Active conflict. Armed groups use rape as primary weapon. UN documented but impunity total.,2025
37,South Sudan,SSD,Africa,48.0,3,100,300,0,32.0,10,12,100,0,0,0,1,0,5.3,Active conflict. Both government and opposition forces documented. Girls 10-14 particularly targeted.,2025
38,DRC,COD,Africa,52.0,6,99,600,0,28.0,10,24,99,0,0,0,1,1,3.9,Highest documented conflict-related rape globally. 48+ women raped per hour at peak conflict. UN documented systematic rape as weapon of war.,2025
