# SHEtoken Women's Vital Statistics — 2025
# Sources: UN WPP 2024, WHO GHO, UNICEF MICS, UNESCO UIS,
#          UNODC, World Bank Gender Data, ILO, Credit Suisse
# Weekly estimates = annual rates / 52 (modeled, not reported weekly)
# Generated: May 2026 | shetoken.org
#
country,iso_code,region,girls_born_per_1000_pop,life_expectancy_female,life_expectancy_male,le_gap_years,maternal_mortality_per_100k,girls_primary_enrollment_pct,girls_secondary_enrollment_pct,women_tertiary_enrollment_pct,child_marriage_rate_pct,fertility_rate,female_poverty_rate_pct,male_poverty_rate_pct,gender_poverty_gap_pct,gender_wealth_gap_pct,women_killed_by_partner_per_100k,female_labour_force_pct,gender_wage_gap_pct,women_with_bank_account_pct,girls_born_per_week_est,maternal_deaths_per_week_est,girls_drop_out_school_per_week_est,girls_married_under18_per_week_est,women_killed_by_partner_per_week_est,year
Philippines,PHL,SE Asia,22.8,74.9,68.4,6.5,114,98,90,44,10.0,2.77,22.0,18.0,4.0,50,8.0,58,16,66,24335,55,5232,2433,85,2025
South Africa,ZAF,Africa,20.1,68.0,62.0,6.0,127,94,88,40,12.0,2.38,31.0,22.0,9.0,42,20.0,50,33,68,11596,29,2226,1392,115,2025
Nigeria,NGA,Africa,37.0,55.7,54.2,1.5,1047,83,60,20,44.0,5.32,58.0,48.0,10.0,28,40.0,48,36,38,75921,1590,24295,33405,821,2025
Kenya,KEN,Africa,31.5,68.4,64.5,3.9,342,92,76,22,26.0,3.64,40.0,32.0,8.0,35,28.0,62,32,58,16356,112,4481,4252,145,2025
Ghana,GHA,Africa,30.0,65.8,63.5,2.3,263,92,74,18,24.0,3.88,48.0,40.0,8.0,33,30.0,66,34,52,9346,49,2720,2243,93,2025
Rwanda,RWA,Africa,30.8,70.8,67.2,3.6,259,95,80,12,16.0,3.73,54.0,44.0,10.0,32,32.0,88,28,62,3998,21,1079,640,42,2025
Bangladesh,BGD,South Asia,26.5,76.0,71.6,4.4,123,97,72,20,59.0,2.17,26.0,18.0,8.0,32,36.0,36,34,50,42375,104,15170,25001,576,2025
Pakistan,PAK,South Asia,28.4,67.8,66.0,1.8,154,74,50,14,28.0,3.43,38.0,26.0,12.0,28,44.0,22,34,18,61497,189,19372,17219,953,2025
Vietnam,VNM,SE Asia,15.5,78.9,72.8,6.1,46,99,92,30,6.0,2.06,12.0,8.0,4.0,55,4.0,70,12,62,14501,13,3016,870,37,2025
Thailand,THA,SE Asia,10.2,80.9,73.7,7.2,37,98,94,44,6.0,1.33,10.0,7.0,3.0,58,3.0,60,12,80,7022,5,1271,421,21,2025
Turkey,TUR,Europe/Asia,14.7,80.7,76.4,4.3,17,95,88,52,10.0,1.93,18.0,12.0,6.0,52,10.0,38,20,68,11915,4,2407,1192,81,2025
Ethiopia,ETH,Africa,33.4,67.5,63.8,3.7,401,88,58,14,40.0,4.22,72.0,60.0,12.0,24,54.0,78,30,36,37864,304,14653,15146,612,2025
Tanzania,TZA,Africa,36.1,68.7,65.4,3.3,524,90,66,14,31.0,4.84,50.0,42.0,8.0,28,44.0,82,28,42,21348,224,7237,6618,260,2025
Uganda,UGA,Africa,41.2,68.6,64.8,3.8,284,92,62,10,40.0,4.76,48.0,40.0,8.0,26,46.0,76,30,46,18659,106,7333,7464,208,2025
Mozambique,MOZ,Africa,38.7,61.6,58.4,3.2,289,90,58,12,48.0,4.56,70.0,60.0,10.0,24,50.0,76,32,40,11982,69,4877,5751,155,2025
Sudan,SDN,Africa,32.4,67.0,64.4,2.6,295,84,52,14,38.0,4.42,60.0,50.0,10.0,28,52.0,32,38,14,13988,83,5567,5315,224,2025
Myanmar,MMR,SE Asia,17.0,70.8,65.4,5.4,282,96,74,22,16.0,2.12,28.0,20.0,8.0,40,30.0,48,20,44,8892,50,2943,1423,157,2025
Iraq,IRQ,Middle East,27.5,72.0,68.4,3.6,79,96,66,22,28.0,3.55,18.0,12.0,6.0,38,28.0,14,36,10,10630,17,4241,2976,108,2025
Egypt,EGY,Africa/ME,22.8,74.4,71.2,3.2,17,98,86,38,18.0,2.86,16.0,10.0,6.0,44,18.0,17,32,28,22427,8,5584,4037,177,2025
Guatemala,GTM,C. America,25.5,76.0,71.5,4.5,95,98,82,30,34.0,2.66,38.0,28.0,10.0,42,28.0,48,20,54,4193,8,1187,1426,46,2025
Yemen,YEM,Middle East,30.5,66.6,63.5,3.1,183,78,40,10,34.0,3.88,58.0,50.0,8.0,24,54.0,6,42,6,9883,36,4349,3360,175,2025
Afghanistan,AFG,South Asia,34.5,66.6,63.0,3.6,620,70,22,8,28.0,4.1,72.0,60.0,12.0,22,56.0,6,56,2,13302,165,6824,3725,216,2025
DRC,COD,Africa,43.8,61.4,58.1,3.3,547,86,52,10,52.0,5.56,76.0,64.0,12.0,22,58.0,62,32,14,40389,442,16882,21002,535,2025
Mali,MLI,Africa,42.2,60.2,57.8,2.4,562,74,40,12,54.0,5.52,76.0,64.0,12.0,20,58.0,70,32,22,9089,102,3636,4908,125,2025
Niger,NER,Africa,47.8,62.4,60.2,2.2,509,72,32,10,76.0,6.73,80.0,68.0,12.0,18,64.0,42,34,14,11536,117,5168,8768,154,2025
Chad,TCD,Africa,43.5,54.8,52.4,2.4,1140,74,36,10,58.0,5.58,78.0,66.0,12.0,20,60.0,62,30,12,7069,161,3068,4100,98,2025
Somalia,SOM,Africa,39.5,57.4,55.2,2.2,829,48,24,6,45.0,5.82,82.0,70.0,12.0,18,64.0,22,36,6,6495,108,1793,2923,105,2025
