# SHEtoken Rape Counts: Reported vs Estimated — 2025
# REPORTED = UNODC official police statistics
# ESTIMATED = WHO lifetime prevalence survey ÷ 35-year window
#
# Global annual REPORTED:  362,844
# Global annual ESTIMATED: 20,486,743
# Global annual UNREPORTED:20,123,899
#
# Countries covered: 40
# Countries where marital rape NOT criminalised: 19
#
# CRITICAL NOTE: 'Estimated' figures are CONSERVATIVE.
# WHO surveys themselves undercount due to shame, denial, and
# fear. True figures may be significantly higher.
# Sources: UNODC, WHO, national crime surveys (NCVS, NCRB etc)
# (c) 2026 SHE Foundation
#
rank_estimated,country,iso_code,region,female_population_millions,unodc_reported_per_100k,who_lifetime_prevalence_pct,reporting_gap_pct,marital_rape_criminalised,reported_annual,estimated_annual,unreported_annual,reported_weekly,estimated_weekly,unreported_weekly,reported_daily,estimated_daily,estimation_multiplier,source_note,year
22,Thailand,THA,SE Asia,35.8,12,22,90,1,4296,225029,220733,83,4327,4245,11.8,616.5,52.4,NSO Crime Survey + UNODC,2025
23,Colombia,COL,S. America,25.5,28,30,88,1,7140,218571,211431,137,4203,4066,19.6,598.8,30.6,DANE ECV + Fiscalia,2025
24,UK,GBR,Europe,33.5,79,20,83,1,26465,191429,164964,509,3681,3172,72.5,524.5,7.2,ONS Crime Survey England+Wales,2025
25,Japan,JPN,East Asia,62.85,4,10,95,0,2514,179571,177057,48,3453,3405,6.9,492.0,71.4,NPA Japan + Cabinet Office DV Survey,2025
26,Iraq,IRQ,Middle East,20.1,3,28,99,0,603,160800,160197,12,3092,3081,1.7,440.5,266.7,UNFPA Iraq + UN SGBV,2025
27,Germany,DEU,Europe,41.6,90,13,68,1,37440,154514,117074,720,2971,2251,102.6,423.3,4.1,BKA Germany 2022 + WHO,2025
28,Yemen,YEM,Middle East,16.85,1,32,100,0,168,154057,153889,3,2963,2959,0.5,422.1,917.0,UNFPA Yemen emergency + OCHA,2025
29,Niger,NER,Africa,12.55,2,36,99,0,251,129086,128835,5,2482,2478,0.7,353.7,514.3,UNFPA Niger + UNICEF MICS,2025
30,Canada,CAN,N. America,19.1,98,22,83,1,18718,120057,101339,360,2309,1949,51.3,328.9,6.4,StatsCan 2021 + Brennan Centre,2025
31,Somalia,SOM,Africa,8.55,2,46,100,0,171,112371,112200,3,2161,2158,0.5,307.9,657.1,UNFPA SBGV Somalia — near-zero reporting infrastructure,2025
32,South Korea,KOR,East Asia,25.85,22,13,90,1,5687,96014,90327,109,1846,1737,15.6,263.1,16.9,KICVS + UNODC,2025
33,South Sudan,SSD,Africa,5.6,3,48,100,0,168,76800,76632,3,1477,1474,0.5,210.4,457.1,UNMISS + IRC,2025
34,Australia,AUS,Oceania,12.95,91,18,80,1,11784,66600,54816,227,1281,1054,32.3,182.5,5.7,BOCSAR + ABS Personal Safety Survey,2025
35,CAR,CAF,Africa,2.4,3,46,100,0,72,31543,31471,1,607,605,0.2,86.4,438.1,UN MINUSCA + MSF,2025
36,Sweden,SWE,Europe,5.2,188,13,55,1,9776,19314,9538,188,371,183,26.8,52.9,2.0,BRA Sweden 2022 + WHO survey,2025
37,Denmark,DNK,Europe,2.94,110,12,60,1,3234,10080,6846,62,194,132,8.9,27.6,3.1,Statistics Denmark + WHO,2025
38,Finland,FIN,Europe,2.77,95,11,65,1,2632,8706,6074,51,167,117,7.2,23.9,3.3,Statistics Finland + WHO,2025
39,Norway,NOR,Europe,2.7,208,11,60,1,5616,8486,2870,108,163,55,15.4,23.2,1.5,Norwegian Police 2022 + UNODC,2025
40,Iceland,ISL,Europe,0.19,152,14,60,1,289,760,471,6,15,9,0.8,2.1,2.6,Statistics Iceland + UNODC 2022,2025
