# SHEtoken WEI India State Historical Trends 2015-2024
# (c) 2026 SHE Foundation
#
state,state_code,ticker,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Delhi,DL,SHE-DL,2016,55.8,52.1,82.8,51.7,76.2,60.2,53.6,58.2,72.0,68.5
Punjab,PB,SHE-PB,2016,55.7,48.1,76.8,47.7,74.2,56.2,57.6,60.2,52.0,30.4
West Bengal,WB,SHE-WB,2016,49.3,49.6,70.7,42.2,68.2,44.7,55.6,54.7,44.0,42.5
Odisha,OD,SHE-OD,2016,46.3,46.1,68.8,39.7,64.2,44.2,50.1,48.2,38.0,36.5
Haryana,HR,SHE-HR,2016,44.4,40.1,70.8,43.7,64.2,41.2,49.6,48.2,46.0,56.5
Chhattisgarh,CG,SHE-CG,2016,43.4,46.1,66.8,37.7,60.2,40.2,49.6,44.2,34.0,40.5
Assam,AS,SHE-AS,2016,42.5,42.1,68.8,37.7,60.2,38.2,47.6,44.2,36.0,42.5
Rajasthan,RJ,SHE-RJ,2016,41.4,44.1,56.8,37.7,62.2,34.2,47.6,44.2,36.0,38.5
Jharkhand,JH,SHE-JH,2016,38.6,40.1,60.8,33.7,56.2,34.2,45.6,38.2,29.9,38.5
Madhya Pradesh,MP,SHE-MP,2016,38.4,42.1,62.8,35.7,58.2,32.2,43.6,40.2,31.9,48.5
Bihar,BR,SHE-BR,2016,31.9,34.1,56.8,26.7,52.2,20.2,39.6,34.2,21.9,36.5
Uttar Pradesh,UP,SHE-UP,2016,25.8,32.1,56.8,26.7,52.2,16.2,33.6,28.2,15.9,68.5
Kerala,KL,SHE-KL,2017,75.2,75.3,93.0,60.4,85.9,80.4,76.2,76.4,66.4,18.4
Goa,GA,SHE-GA,2017,69.5,62.3,89.0,57.9,84.4,70.4,69.7,72.4,68.4,20.4
Tamil Nadu,TN,SHE-TN,2017,66.3,66.3,87.0,57.9,80.4,66.4,65.7,66.4,59.4,24.4
Mizoram,MZ,SHE-MZ,2017,65.1,56.3,89.0,49.9,78.4,70.4,65.7,68.4,54.4,14.4
Meghalaya,ML,SHE-ML,2017,63.0,58.3,81.0,51.9,74.4,68.4,63.7,68.4,52.4,18.4
Himachal Pradesh,HP,SHE-HP,2017,62.4,56.3,85.0,49.9,78.4,62.4,63.7,66.4,56.4,22.4
Telangana,TS,SHE-TS,2017,59.2,60.3,77.0,51.9,74.4,58.4,59.7,60.4,56.4,30.4
Karnataka,KA,SHE-KA,2017,58.9,58.3,77.0,53.9,74.4,58.4,59.7,60.4,56.4,32.4
Manipur,MN,SHE-MN,2017,58.7,54.3,79.0,51.9,70.4,62.4,59.7,62.4,48.4,24.4
Andhra Pradesh,AP,SHE-AP,2017,58.4,58.3,75.0,53.9,72.4,56.4,59.7,60.4,54.4,28.4
Uttarakhand,UK,SHE-UK,2017,57.8,52.3,81.0,45.9,74.4,58.4,59.7,62.4,50.4,26.4
Maharashtra,MH,SHE-MH,2017,57.0,54.3,79.0,53.9,72.4,56.4,57.7,60.4,58.4,42.4
Gujarat,GJ,SHE-GJ,2017,56.1,50.3,77.0,53.9,72.4,54.4,53.7,56.4,54.4,26.4
Delhi,DL,SHE-DL,2017,56.0,52.3,83.0,51.9,76.4,60.4,53.7,58.4,72.4,68.4
Punjab,PB,SHE-PB,2017,55.9,48.3,77.0,47.9,74.4,56.4,57.7,60.4,52.4,30.4
West Bengal,WB,SHE-WB,2017,49.4,50.8,70.5,42.4,68.4,43.9,55.7,54.9,44.4,42.4
Odisha,OD,SHE-OD,2017,46.5,46.3,69.0,39.9,64.4,44.4,50.2,48.4,38.4,36.4
Haryana,HR,SHE-HR,2017,44.6,40.3,71.0,43.9,64.4,41.4,49.7,48.4,46.4,56.4
Chhattisgarh,CG,SHE-CG,2017,43.6,46.3,67.0,37.9,60.4,40.4,49.7,44.4,34.4,40.4
Assam,AS,SHE-AS,2017,42.7,42.3,69.0,37.9,60.4,38.4,47.7,44.4,36.4,42.4
Rajasthan,RJ,SHE-RJ,2017,41.6,44.3,57.0,37.9,62.4,34.4,47.7,44.4,36.4,38.4
Jharkhand,JH,SHE-JH,2017,38.8,40.3,61.0,33.9,56.4,34.4,45.7,38.4,30.4,38.4
Madhya Pradesh,MP,SHE-MP,2017,38.6,42.3,63.0,35.9,58.4,32.4,43.7,40.4,32.4,48.4
Bihar,BR,SHE-BR,2017,32.0,34.3,57.0,25.4,52.4,20.4,39.7,34.4,22.4,36.4
Uttar Pradesh,UP,SHE-UP,2017,26.0,32.3,57.0,26.9,52.4,16.4,33.7,28.4,16.4,68.4
Kerala,KL,SHE-KL,2018,75.6,75.5,93.2,61.1,86.1,80.6,75.8,78.6,66.8,18.4
Goa,GA,SHE-GA,2018,69.7,62.5,89.2,58.1,84.6,70.6,69.8,72.6,68.8,20.4
Tamil Nadu,TN,SHE-TN,2018,66.5,66.5,87.2,58.1,80.6,66.6,65.8,66.6,59.9,24.4
Mizoram,MZ,SHE-MZ,2018,65.3,56.5,89.2,50.1,78.6,70.6,65.8,68.6,54.9,14.3
Meghalaya,ML,SHE-ML,2018,63.3,58.5,81.2,52.1,74.6,68.6,63.8,68.6,52.9,18.4
Himachal Pradesh,HP,SHE-HP,2018,62.6,56.5,85.2,50.1,78.6,62.6,63.8,66.6,56.9,22.4
Telangana,TS,SHE-TS,2018,59.4,60.5,77.2,52.1,74.6,58.6,59.8,60.6,56.9,30.4
Karnataka,KA,SHE-KA,2018,59.2,58.5,77.2,54.1,74.6,58.6,59.8,60.6,56.9,32.4
Manipur,MN,SHE-MN,2018,58.9,54.5,79.2,52.1,70.6,62.6,59.8,62.6,48.9,24.4
Andhra Pradesh,AP,SHE-AP,2018,58.6,58.5,75.2,54.1,72.6,56.6,59.8,60.6,54.9,28.4
Uttarakhand,UK,SHE-UK,2018,58.0,52.5,81.2,46.1,74.6,58.6,59.8,62.6,50.9,26.4
Maharashtra,MH,SHE-MH,2018,57.2,54.5,79.2,54.1,72.6,56.6,57.8,60.6,58.9,42.4
Gujarat,GJ,SHE-GJ,2018,56.3,50.5,77.2,54.1,72.6,54.6,53.8,56.6,54.9,26.4
Delhi,DL,SHE-DL,2018,56.2,52.5,83.2,52.1,76.6,60.6,53.8,58.6,72.8,68.3
Punjab,PB,SHE-PB,2018,56.2,48.5,77.2,48.1,74.6,56.6,57.8,60.6,52.9,30.4
West Bengal,WB,SHE-WB,2018,50.3,50.5,72.8,42.6,68.6,47.1,55.8,55.1,44.9,42.4
Odisha,OD,SHE-OD,2018,46.7,46.5,69.2,40.1,64.6,44.6,50.3,48.6,38.9,36.4
Haryana,HR,SHE-HR,2018,44.8,40.5,71.2,44.1,64.6,41.6,49.8,48.6,46.9,56.4
Chhattisgarh,CG,SHE-CG,2018,43.9,46.5,67.2,38.1,60.6,40.6,49.8,44.6,34.9,40.4
Assam,AS,SHE-AS,2018,42.9,42.5,69.2,38.1,60.6,38.6,47.8,44.6,36.9,42.4
Rajasthan,RJ,SHE-RJ,2018,42.2,44.5,59.2,38.1,62.6,35.6,47.8,44.6,36.9,38.4
Jharkhand,JH,SHE-JH,2018,39.0,40.5,61.2,34.1,56.6,34.6,45.8,38.6,30.9,38.4
Madhya Pradesh,MP,SHE-MP,2018,38.9,42.5,63.2,36.1,58.6,32.6,43.8,40.6,32.9,48.4
Bihar,BR,SHE-BR,2018,32.4,34.5,57.2,27.6,52.6,20.6,39.8,34.6,22.9,36.4
Uttar Pradesh,UP,SHE-UP,2018,26.2,32.5,57.2,27.1,52.6,16.6,33.8,28.6,16.9,68.3
Kerala,KL,SHE-KL,2019,75.9,77.6,93.5,60.8,86.3,80.8,75.9,77.8,67.3,18.3
Goa,GA,SHE-GA,2019,69.9,62.6,89.5,58.3,84.8,70.8,69.9,72.8,69.3,20.3
Tamil Nadu,TN,SHE-TN,2019,66.7,66.6,87.5,58.3,80.8,66.8,65.9,66.8,60.3,24.3
Mizoram,MZ,SHE-MZ,2019,65.5,56.6,89.5,50.3,78.8,70.8,65.9,68.8,55.3,14.3
Meghalaya,ML,SHE-ML,2019,63.5,58.6,81.5,52.3,74.8,68.8,63.9,68.8,53.3,18.3
Himachal Pradesh,HP,SHE-HP,2019,62.8,56.6,85.5,50.3,78.8,62.8,63.9,66.8,57.3,22.3
Telangana,TS,SHE-TS,2019,59.6,60.6,77.5,52.3,74.8,58.8,59.9,60.8,57.3,30.3
Karnataka,KA,SHE-KA,2019,59.4,58.6,77.5,54.3,74.8,58.8,59.9,60.8,57.3,32.3
Manipur,MN,SHE-MN,2019,59.1,54.6,79.5,52.3,70.8,62.8,59.9,62.8,49.3,24.3
Andhra Pradesh,AP,SHE-AP,2019,58.8,58.6,75.5,54.3,72.8,56.8,59.9,60.8,55.3,28.3
Uttarakhand,UK,SHE-UK,2019,58.2,52.6,81.5,46.3,74.8,58.8,59.9,62.8,51.3,26.3
Maharashtra,MH,SHE-MH,2019,57.4,54.6,79.5,54.3,72.8,56.8,57.9,60.8,59.3,42.3
Gujarat,GJ,SHE-GJ,2019,56.5,50.6,77.5,54.3,72.8,54.8,53.9,56.8,55.3,26.3
Delhi,DL,SHE-DL,2019,56.4,52.6,83.5,52.3,76.8,60.8,53.9,58.8,73.3,68.3
Punjab,PB,SHE-PB,2019,56.4,48.6,77.5,48.3,74.8,56.8,57.9,60.8,53.3,30.3
West Bengal,WB,SHE-WB,2019,50.4,50.6,72.0,42.8,68.8,47.8,55.9,55.3,45.3,42.3
Odisha,OD,SHE-OD,2019,46.9,46.6,69.5,40.3,64.8,44.8,50.4,48.8,39.3,36.3
Haryana,HR,SHE-HR,2019,45.3,40.6,71.5,44.3,64.8,43.8,49.9,48.8,47.3,56.3
Chhattisgarh,CG,SHE-CG,2019,44.1,46.6,67.5,38.3,60.8,40.8,49.9,44.8,35.3,40.3
Assam,AS,SHE-AS,2019,43.1,42.6,69.5,38.3,60.8,38.8,47.9,44.8,37.3,42.3
Rajasthan,RJ,SHE-RJ,2019,42.2,44.6,58.5,38.3,62.8,35.3,47.9,44.8,37.3,38.3
Jharkhand,JH,SHE-JH,2019,39.2,40.6,61.5,34.3,56.8,34.8,45.9,38.8,31.3,38.3
Madhya Pradesh,MP,SHE-MP,2019,39.1,42.6,63.5,36.3,58.8,32.8,43.9,40.8,33.3,48.3
Bihar,BR,SHE-BR,2019,32.5,34.6,57.5,26.8,52.8,20.8,39.9,34.8,23.3,36.3
Uttar Pradesh,UP,SHE-UP,2019,26.4,32.6,57.5,27.3,52.8,16.8,33.9,28.8,17.3,68.3
Kerala,KL,SHE-KL,2020,73.7,76.8,89.8,55.0,86.5,81.0,71.0,74.0,67.8,18.2
Goa,GA,SHE-GA,2020,67.8,62.8,85.8,52.5,85.0,71.0,65.0,69.0,69.8,20.2
Tamil Nadu,TN,SHE-TN,2020,64.6,66.8,83.8,52.5,81.0,67.0,61.0,63.0,60.8,24.2
Mizoram,MZ,SHE-MZ,2020,63.5,56.8,85.8,44.5,79.0,71.0,61.0,65.0,55.8,14.2
Meghalaya,ML,SHE-ML,2020,61.4,58.8,77.8,46.5,75.0,69.0,59.0,65.0,53.8,18.2
Himachal Pradesh,HP,SHE-HP,2020,60.7,56.8,81.8,44.5,79.0,63.0,59.0,63.0,57.8,22.2
Telangana,TS,SHE-TS,2020,57.6,60.8,73.8,46.5,75.0,59.0,55.0,57.0,57.8,30.2
Karnataka,KA,SHE-KA,2020,57.3,58.8,73.8,48.5,75.0,59.0,55.0,57.0,57.8,32.2
Manipur,MN,SHE-MN,2020,57.0,54.8,75.8,46.5,71.0,63.0,55.0,59.0,49.8,24.2
Andhra Pradesh,AP,SHE-AP,2020,56.7,58.8,71.8,48.5,73.0,57.0,55.0,57.0,55.8,28.2
Uttarakhand,UK,SHE-UK,2020,56.1,52.8,77.8,40.5,75.0,59.0,55.0,59.0,51.8,26.2
Maharashtra,MH,SHE-MH,2020,55.3,54.8,75.8,48.5,73.0,57.0,53.0,57.0,59.8,42.2
Delhi,DL,SHE-DL,2020,54.4,52.8,79.8,46.5,77.0,61.0,49.0,55.0,73.8,68.2
Gujarat,GJ,SHE-GJ,2020,54.4,50.8,73.8,48.5,73.0,55.0,49.0,53.0,55.8,26.2
Punjab,PB,SHE-PB,2020,54.3,48.8,73.8,42.5,75.0,57.0,53.0,57.0,53.8,30.2
West Bengal,WB,SHE-WB,2020,48.3,50.8,68.2,37.0,69.0,47.0,51.0,52.5,45.8,42.2
Odisha,OD,SHE-OD,2020,44.8,46.8,65.8,34.5,65.0,45.0,45.5,45.0,39.8,36.2
Haryana,HR,SHE-HR,2020,43.1,40.8,67.8,38.5,65.0,43.0,45.0,45.0,47.8,56.2
Chhattisgarh,CG,SHE-CG,2020,42.0,46.8,63.8,32.5,61.0,41.0,45.0,41.0,35.8,40.2
Assam,AS,SHE-AS,2020,41.1,42.8,65.8,32.5,61.0,39.0,43.0,41.0,37.8,42.2
Rajasthan,RJ,SHE-RJ,2020,40.2,44.8,54.8,32.5,63.0,35.5,43.0,41.0,37.8,38.2
Jharkhand,JH,SHE-JH,2020,37.2,40.8,57.8,28.5,57.0,35.0,41.0,35.0,31.8,38.2
Madhya Pradesh,MP,SHE-MP,2020,37.0,42.8,59.8,30.5,59.0,33.0,39.0,37.0,33.8,48.2
Bihar,BR,SHE-BR,2020,30.5,34.8,53.8,21.0,53.0,21.0,35.0,31.0,23.8,36.2
Uttar Pradesh,UP,SHE-UP,2020,24.4,32.8,53.8,21.5,53.0,17.0,29.0,25.0,17.8,68.2
Kerala,KL,SHE-KL,2021,76.1,76.9,94.0,63.2,86.7,81.2,73.6,78.2,68.2,18.2
Goa,GA,SHE-GA,2021,69.8,62.9,90.0,58.7,85.2,71.2,67.6,71.2,70.2,20.2
Tamil Nadu,TN,SHE-TN,2021,66.6,66.9,88.0,58.7,81.2,67.2,63.6,65.2,61.2,24.2
Mizoram,MZ,SHE-MZ,2021,65.4,56.9,90.0,50.7,79.2,71.2,63.6,67.2,56.2,14.2
Meghalaya,ML,SHE-ML,2021,63.3,58.9,82.0,52.7,75.2,69.2,61.6,67.2,54.2,18.2
Himachal Pradesh,HP,SHE-HP,2021,62.7,56.9,86.0,50.7,79.2,63.2,61.6,65.2,58.2,22.2
Telangana,TS,SHE-TS,2021,59.5,60.9,78.0,52.7,75.2,59.2,57.6,59.2,58.2,30.2
Karnataka,KA,SHE-KA,2021,59.2,58.9,78.0,54.7,75.2,59.2,57.6,59.2,58.2,32.2
Manipur,MN,SHE-MN,2021,59.0,54.9,80.0,52.7,71.2,63.2,57.6,61.2,50.2,24.2
Andhra Pradesh,AP,SHE-AP,2021,58.7,58.9,76.0,54.7,73.2,57.2,57.6,59.2,56.2,28.2
Uttarakhand,UK,SHE-UK,2021,58.1,52.9,82.0,46.7,75.2,59.2,57.6,61.2,52.2,26.2
Maharashtra,MH,SHE-MH,2021,57.3,54.9,80.0,54.7,73.2,57.2,55.6,59.2,60.2,42.2
Gujarat,GJ,SHE-GJ,2021,56.4,50.9,78.0,54.7,73.2,55.2,51.6,55.2,56.2,26.2
Delhi,DL,SHE-DL,2021,56.3,52.9,84.0,52.7,77.2,61.2,51.6,57.2,74.2,68.2
Punjab,PB,SHE-PB,2021,56.2,48.9,78.0,48.7,75.2,57.2,55.6,59.2,54.2,30.2
West Bengal,WB,SHE-WB,2021,51.8,50.9,72.5,47.2,69.2,50.2,53.6,60.2,46.2,42.2
Odisha,OD,SHE-OD,2021,47.2,46.9,70.0,40.7,65.2,45.2,51.1,47.2,40.2,36.2
Haryana,HR,SHE-HR,2021,45.0,40.9,72.0,44.7,65.2,43.2,47.6,47.2,48.2,56.2
Chhattisgarh,CG,SHE-CG,2021,43.9,46.9,68.0,38.7,61.2,41.2,47.6,43.2,36.2,40.2
Assam,AS,SHE-AS,2021,43.0,42.9,70.0,38.7,61.2,39.2,45.6,43.2,38.2,42.2
Rajasthan,RJ,SHE-RJ,2021,42.1,44.9,59.0,38.7,63.2,35.7,45.6,43.2,38.2,38.2
Jharkhand,JH,SHE-JH,2021,39.1,40.9,62.0,34.7,57.2,35.2,43.6,37.2,32.2,38.2
Madhya Pradesh,MP,SHE-MP,2021,38.9,42.9,64.0,36.7,59.2,33.2,41.6,39.2,34.2,48.2
Bihar,BR,SHE-BR,2021,32.4,34.9,58.0,27.2,53.2,21.2,37.6,33.2,24.2,36.2
Uttar Pradesh,UP,SHE-UP,2021,26.3,32.9,58.0,27.7,53.2,17.2,31.6,27.2,18.2,68.2
Kerala,KL,SHE-KL,2022,75.9,77.0,93.2,61.9,86.9,81.4,73.7,77.4,68.7,18.1
Goa,GA,SHE-GA,2022,69.7,63.0,89.2,57.4,85.4,71.4,67.7,71.4,70.7,20.1
Tamil Nadu,TN,SHE-TN,2022,66.5,67.0,87.2,57.4,81.4,67.4,63.7,65.4,61.6,24.1
Mizoram,MZ,SHE-MZ,2022,65.3,57.0,89.2,49.4,79.4,71.4,63.7,67.4,56.6,14.2
Meghalaya,ML,SHE-ML,2022,63.2,59.0,81.2,51.4,75.4,69.4,61.7,67.4,54.6,18.1
Himachal Pradesh,HP,SHE-HP,2022,62.6,57.0,85.2,49.4,79.4,63.4,61.7,65.4,58.6,22.1
Telangana,TS,SHE-TS,2022,59.4,61.0,77.2,51.4,75.4,59.4,57.7,59.4,58.6,30.1
Karnataka,KA,SHE-KA,2022,59.1,59.0,77.2,53.4,75.4,59.4,57.7,59.4,58.6,32.1
Manipur,MN,SHE-MN,2022,58.9,55.0,79.2,51.4,71.4,63.4,57.7,61.4,50.6,24.1
Andhra Pradesh,AP,SHE-AP,2022,58.6,59.0,75.2,53.4,73.4,57.4,57.7,59.4,56.6,28.1
Uttarakhand,UK,SHE-UK,2022,58.0,53.0,81.2,45.4,75.4,59.4,57.7,61.4,52.6,26.1
Maharashtra,MH,SHE-MH,2022,57.2,55.0,79.2,53.4,73.4,57.4,55.7,59.4,60.6,42.1
Gujarat,GJ,SHE-GJ,2022,56.3,51.0,77.2,53.4,73.4,55.4,51.7,55.4,56.6,26.1
Delhi,DL,SHE-DL,2022,56.2,53.0,83.2,51.4,77.4,61.4,51.7,57.4,74.7,68.2
Punjab,PB,SHE-PB,2022,56.1,49.0,77.2,47.4,75.4,57.4,55.7,59.4,54.6,30.1
West Bengal,WB,SHE-WB,2022,51.7,51.0,74.7,43.9,69.4,51.9,53.7,57.4,46.6,42.1
Odisha,OD,SHE-OD,2022,46.9,47.0,69.2,39.4,65.4,45.4,49.7,47.4,40.6,36.1
Haryana,HR,SHE-HR,2022,44.9,41.0,71.2,43.4,65.4,43.4,47.7,47.4,48.6,56.1
Chhattisgarh,CG,SHE-CG,2022,43.8,47.0,67.2,37.4,61.4,41.4,47.7,43.4,36.6,40.1
Assam,AS,SHE-AS,2022,42.9,43.0,69.2,37.4,61.4,39.4,45.7,43.4,38.6,42.1
Rajasthan,RJ,SHE-RJ,2022,42.9,45.0,62.2,37.4,63.4,38.9,45.7,43.4,38.6,38.1
Jharkhand,JH,SHE-JH,2022,39.0,41.0,61.2,33.4,57.4,35.4,43.7,37.4,32.6,38.1
Madhya Pradesh,MP,SHE-MP,2022,38.8,43.0,63.2,35.4,59.4,33.4,41.7,39.4,34.6,48.1
Bihar,BR,SHE-BR,2022,32.7,35.0,57.2,28.9,53.4,21.4,37.7,33.4,24.6,36.1
Uttar Pradesh,UP,SHE-UP,2022,26.5,33.0,57.2,28.4,53.4,17.4,31.7,27.4,18.6,68.2
Kerala,KL,SHE-KL,2023,76.6,77.2,93.5,61.6,88.1,81.6,73.8,77.6,73.1,18.1
Goa,GA,SHE-GA,2023,70.3,63.2,89.5,57.6,85.6,71.6,67.8,71.6,75.1,20.1
Tamil Nadu,TN,SHE-TN,2023,67.1,67.2,87.5,57.6,81.6,67.6,63.8,65.6,66.1,24.1
Mizoram,MZ,SHE-MZ,2023,66.0,57.2,89.5,49.6,79.6,71.6,63.8,67.6,61.1,14.1
Meghalaya,ML,SHE-ML,2023,63.9,59.2,81.5,51.6,75.6,69.6,61.8,67.6,59.1,18.1
Himachal Pradesh,HP,SHE-HP,2023,63.2,57.2,85.5,49.6,79.6,63.6,61.8,65.6,63.1,22.1
Telangana,TS,SHE-TS,2023,60.0,61.2,77.5,51.6,75.6,59.6,57.8,59.6,63.1,30.1
Karnataka,KA,SHE-KA,2023,59.8,59.2,77.5,53.6,75.6,59.6,57.8,59.6,63.1,32.1
Manipur,MN,SHE-MN,2023,59.5,55.2,79.5,51.6,71.6,63.6,57.8,61.6,55.1,24.1
Andhra Pradesh,AP,SHE-AP,2023,59.2,59.2,75.5,53.6,73.6,57.6,57.8,59.6,61.1,28.1
Uttarakhand,UK,SHE-UK,2023,58.6,53.2,81.5,45.6,75.6,59.6,57.8,61.6,57.1,26.1
Maharashtra,MH,SHE-MH,2023,57.8,55.2,79.5,53.6,73.6,57.6,55.8,59.6,65.1,42.1
Delhi,DL,SHE-DL,2023,56.9,53.2,83.5,51.6,77.6,61.6,51.8,57.6,79.1,68.1
Gujarat,GJ,SHE-GJ,2023,56.9,51.2,77.5,53.6,73.6,55.6,51.8,55.6,61.1,26.1
Punjab,PB,SHE-PB,2023,56.8,49.2,77.5,47.6,75.6,57.6,55.8,59.6,59.1,30.1
West Bengal,WB,SHE-WB,2023,52.5,51.2,73.5,46.1,69.6,52.6,53.8,57.6,51.1,42.1
Odisha,OD,SHE-OD,2023,47.5,47.2,69.5,39.6,65.6,45.6,49.8,47.6,45.1,36.1
Haryana,HR,SHE-HR,2023,45.6,41.2,71.5,43.6,65.6,43.6,47.8,47.6,53.1,56.1
Chhattisgarh,CG,SHE-CG,2023,44.5,47.2,67.5,37.6,61.6,41.6,47.8,43.6,41.1,40.1
Assam,AS,SHE-AS,2023,43.5,43.2,69.5,37.6,61.6,39.6,45.8,43.6,43.1,42.1
Rajasthan,RJ,SHE-RJ,2023,43.1,45.2,60.5,37.6,63.6,37.6,45.8,43.6,43.1,38.1
Jharkhand,JH,SHE-JH,2023,39.6,41.2,61.5,33.6,57.6,35.6,43.8,37.6,37.1,38.1
Madhya Pradesh,MP,SHE-MP,2023,39.5,43.2,63.5,35.6,59.6,33.6,41.8,39.6,39.1,48.1
Bihar,BR,SHE-BR,2023,33.1,35.2,57.5,27.6,53.6,21.6,37.8,33.6,29.1,36.1
Uttar Pradesh,UP,SHE-UP,2023,27.0,33.2,57.5,27.6,53.6,17.6,31.8,27.6,23.1,68.1
Kerala,KL,SHE-KL,2024,76.7,78.3,93.8,61.8,87.8,81.8,73.9,77.8,71.5,18.1
Goa,GA,SHE-GA,2024,70.5,64.4,89.8,57.8,85.8,71.8,67.9,71.8,73.5,20.1
Tamil Nadu,TN,SHE-TN,2024,67.3,68.3,87.8,57.8,81.8,67.8,63.9,65.8,64.5,24.1
Mizoram,MZ,SHE-MZ,2024,66.1,58.4,89.8,49.8,79.8,71.8,63.9,67.8,59.5,14.1
