# SHEtoken WEI Country Trends 2015-2024 — all pillars
# (c) 2026 SHE Foundation
#
iso_code,country,year,wei_score,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,tier
NPL,Nepal,2017,36.2,33.2,65.5,33.4,63.1,28.0,34.0,32.4,30.1,34.4,3
GTM,Guatemala,2017,34.8,31.2,67.5,35.4,71.1,28.0,30.0,30.4,28.1,50.4,3
EGY,Egypt,2017,32.9,21.2,67.5,31.4,71.1,20.0,28.0,28.4,26.1,30.4,3
ZWE,Zimbabwe,2017,29.9,29.2,69.5,29.4,55.1,22.0,28.0,24.4,22.1,48.4,3
UGA,Uganda,2017,29.0,31.2,63.5,29.4,53.1,22.0,28.0,24.4,22.1,50.4,3
AFG,Afghanistan,2017,28.8,33.2,52.5,30.2,30.3,25.2,26.8,25.2,23.1,21.2,4
TZA,Tanzania,2017,28.3,27.2,61.5,31.4,55.1,20.0,26.0,22.4,20.1,44.4,3
ZMB,Zambia,2017,27.9,27.2,61.5,31.4,53.1,20.0,26.0,22.4,20.1,46.4,3
NGA,Nigeria,2017,25.6,25.2,57.5,29.4,49.1,18.0,22.5,22.4,20.1,46.4,3
PNG,Papua New Guinea,2017,25.5,23.2,57.5,27.4,55.1,20.0,24.0,24.4,22.1,58.4,3
ETH,Ethiopia,2017,25.5,21.2,52.5,27.4,49.1,16.0,28.0,23.4,18.1,36.4,3
CMR,Cameroon,2017,25.2,25.2,57.5,27.4,49.1,16.0,24.0,20.4,18.1,42.4,3
IRQ,Iraq,2017,25.2,15.2,55.5,21.4,67.1,16.0,22.0,20.4,16.1,34.4,3
MOZ,Mozambique,2017,25.1,25.2,55.5,27.4,49.1,18.0,24.0,20.4,18.1,44.4,3
PAK,Pakistan,2017,24.7,21.2,47.5,28.9,59.1,16.0,22.0,22.4,18.1,42.4,3
CIV,Ivory Coast,2017,24.1,23.2,55.5,27.4,47.1,14.0,22.0,20.4,16.1,38.4,3
HTI,Haiti,2017,22.6,21.2,53.5,25.4,43.1,18.0,22.0,20.4,16.1,46.4,3
SDN,Sudan,2017,19.0,10.2,39.5,19.4,45.1,10.0,24.0,23.4,12.1,34.4,3
SYR,Syria,2017,15.3,15.2,43.5,16.2,44.3,11.2,12.8,11.2,10.1,50.2,4
MLI,Mali,2017,13.3,15.2,35.5,16.2,36.3,7.2,10.8,9.2,8.1,38.2,4
COD,DRC,2017,11.4,13.2,37.5,14.2,34.3,9.2,12.8,9.2,10.1,60.2,4
NER,Niger,2017,9.9,13.2,23.5,12.2,28.3,4.2,11.8,7.2,6.1,34.2,4
TCD,Chad,2017,9.6,11.2,27.5,14.2,30.3,5.2,8.8,7.2,6.1,40.2,4
YEM,Yemen,2017,9.2,9.2,27.5,12.2,36.3,7.2,10.8,9.2,6.1,54.2,4
SSD,South Sudan,2017,8.8,13.2,27.5,14.2,28.3,7.2,8.8,7.2,6.1,52.2,4
CAF,Central African Republic,2017,8.8,11.2,29.5,14.2,30.3,7.2,8.8,7.2,6.1,54.2,4
SOM,Somalia,2017,4.5,7.2,19.5,10.2,26.3,3.2,6.8,5.2,4.1,56.2,4
ISL,Iceland,2018,92.9,93.6,98.5,88.0,97.0,95.0,93.0,93.0,90.7,8.3,1
NOR,Norway,2018,91.8,91.6,97.5,86.0,98.0,94.0,92.0,92.0,89.7,8.3,1
FIN,Finland,2018,91.1,90.6,98.5,85.0,97.0,93.0,91.0,91.0,88.7,8.3,1
SWE,Sweden,2018,91.1,89.6,97.5,87.0,97.0,94.0,90.0,92.0,89.7,10.3,1
