# SHEtoken WEI City Historical Trends 2015-2024
# Top 20 cities by population and data availability
# Key events: Delhi 2012/13 rape law reform, COVID 2020,
#   Jackson MS Dobbs 2022 (-18 bodily autonomy),
#   Kolkata Lakshmi Bhandar 2021, Mexico City feminist emergency 2019
# (c) 2026 SHE Foundation
#
city,slug,country_iso,ticker,year,wei_score,rank,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score
Delhi,delhi,IND,SHE-IND-DELHI,2017,53.0,15,56.8,82.4,51.1,75.3,51.0,48.7,52.8,67.9,70.9
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2017,50.7,16,52.8,78.4,49.6,61.3,49.0,48.7,48.8,54.9,44.4
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2017,50.4,17,58.8,82.4,55.1,69.3,53.0,41.2,50.8,54.9,75.4
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2017,42.6,18,46.8,76.4,39.1,60.3,35.0,39.7,40.3,44.9,48.4
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2017,37.5,19,36.8,68.4,37.1,65.3,29.0,35.7,30.8,30.9,40.4
Karachi,karachi,PAK,SHE-PAK-KARACH,2017,25.5,20,26.8,52.4,27.1,60.8,15.0,21.7,20.8,16.9,44.4
Oslo,oslo,NOR,SHE-NOR-OSLO,2018,90.5,1,90.0,96.6,85.2,95.5,93.2,89.8,91.0,89.3,8.3
Berlin,berlin,DEU,SHE-DEU-BERLIN,2018,85.3,2,83.0,94.6,79.2,93.5,87.2,87.3,84.0,83.3,12.3
New York City,new-york,USA,SHE-USA-NEW-YO,2018,80.6,3,81.0,94.6,75.2,83.5,83.2,79.8,77.0,85.3,18.4
London,london,GBR,SHE-GBR-LONDON,2018,79.7,4,75.0,94.6,73.2,87.5,83.2,80.8,77.0,83.3,20.4
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2018,78.5,5,67.0,96.6,67.2,95.5,75.7,75.8,81.0,81.3,8.3
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2018,75.3,6,77.0,90.6,69.2,79.5,82.2,73.8,69.0,81.3,26.4
Kochi,kochi,IND,SHE-IND-KOCHI,2018,73.4,7,73.0,90.6,59.2,85.5,76.7,73.8,75.0,67.3,18.4
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2018,64.0,8,58.5,86.6,61.2,77.5,69.2,62.8,61.0,69.3,40.4
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2018,62.4,9,61.0,86.6,59.2,77.5,61.2,57.8,61.0,69.3,38.4
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2018,61.5,10,59.0,84.6,61.2,77.5,65.2,58.8,59.0,63.4,44.4
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2018,60.6,11,61.0,86.6,55.7,79.5,59.2,54.8,61.0,63.9,42.4
Lagos,lagos,NGA,SHE-NGA-LAGOS,2018,55.1,12,55.0,74.6,55.7,65.5,63.2,51.8,53.0,59.4,46.4
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2018,54.5,13,55.0,82.6,53.2,73.5,59.2,48.8,53.0,59.4,58.4
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2018,54.2,14,55.0,80.6,45.2,71.5,51.2,53.8,52.0,57.4,38.4
Delhi,delhi,IND,SHE-IND-DELHI,2018,53.2,15,57.0,82.6,51.2,75.5,51.2,48.8,53.0,68.3,70.8
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2018,50.9,16,53.0,78.6,49.7,61.5,49.2,48.8,49.0,55.4,44.4
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2018,50.6,17,59.0,82.6,55.2,69.5,53.2,41.3,51.0,55.4,75.3
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2018,42.8,18,47.0,76.6,39.2,60.5,35.2,39.8,40.5,45.4,48.4
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2018,37.7,19,37.0,68.6,37.2,65.5,29.2,35.8,30.9,31.4,40.4
Karachi,karachi,PAK,SHE-PAK-KARACH,2018,25.7,20,26.9,52.6,27.2,61.0,15.2,21.8,20.9,17.4,44.4
Oslo,oslo,NOR,SHE-NOR-OSLO,2019,90.7,1,90.1,96.8,85.4,95.6,93.3,89.9,91.1,89.8,8.3
Berlin,berlin,DEU,SHE-DEU-BERLIN,2019,85.3,2,83.1,94.8,79.4,93.6,87.3,85.9,84.1,83.8,12.3
New York City,new-york,USA,SHE-USA-NEW-YO,2019,80.8,3,81.1,94.8,75.4,83.6,83.3,79.9,77.1,85.8,18.3
London,london,GBR,SHE-GBR-LONDON,2019,79.8,4,75.1,94.8,73.4,87.6,83.3,80.9,77.1,83.8,20.3
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2019,78.7,5,67.1,96.8,67.4,95.6,75.8,75.9,81.1,81.8,8.3
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2019,75.5,6,77.1,90.8,69.4,79.6,82.3,73.9,69.1,81.8,26.3
Kochi,kochi,IND,SHE-IND-KOCHI,2019,73.1,7,71.1,90.8,59.4,85.6,75.3,73.9,75.1,67.8,18.3
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2019,64.5,8,64.6,86.8,61.4,77.6,69.3,58.9,61.1,69.8,40.3
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2019,62.6,9,61.1,86.8,59.4,77.6,61.3,57.9,61.1,69.8,38.3
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2019,61.5,10,59.1,84.8,61.4,77.6,65.3,57.9,59.1,63.8,44.3
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2019,60.7,11,61.1,86.8,55.9,79.6,59.3,54.9,61.1,64.3,42.3
Lagos,lagos,NGA,SHE-NGA-LAGOS,2019,55.2,12,55.1,74.8,55.9,65.6,63.3,51.9,53.1,59.8,46.3
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2019,54.6,13,55.1,82.8,53.4,73.6,59.3,48.4,53.1,59.8,58.3
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2019,54.4,14,55.1,80.8,45.4,71.6,51.3,53.9,52.1,57.8,38.3
Delhi,delhi,IND,SHE-IND-DELHI,2019,53.9,15,57.1,82.8,51.4,75.6,51.3,50.9,53.1,70.8,70.8
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2019,51.4,16,53.1,78.8,49.9,61.6,49.3,50.9,49.1,55.8,44.3
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2019,50.8,17,59.1,82.8,55.4,69.6,53.3,41.4,51.1,55.8,75.3
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2019,43.0,18,47.1,76.8,39.4,60.6,35.3,39.9,40.6,45.8,48.3
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2019,37.9,19,37.1,68.8,37.4,65.6,29.3,35.9,31.1,31.8,40.3
Karachi,karachi,PAK,SHE-PAK-KARACH,2019,25.8,20,27.1,52.8,27.4,61.1,15.3,21.9,21.1,17.8,44.3
Oslo,oslo,NOR,SHE-NOR-OSLO,2020,88.8,1,90.2,97.0,80.6,92.7,93.4,85.0,87.2,90.2,8.2
Berlin,berlin,DEU,SHE-DEU-BERLIN,2020,83.4,2,83.2,95.0,74.6,90.7,87.4,81.0,80.2,84.2,12.2
New York City,new-york,USA,SHE-USA-NEW-YO,2020,78.9,3,81.2,95.0,70.6,80.7,83.4,75.0,73.2,86.2,18.2
London,london,GBR,SHE-GBR-LONDON,2020,77.9,4,75.2,95.0,68.6,84.7,83.4,76.0,73.2,84.2,20.2
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2020,76.8,5,67.2,97.0,62.6,92.7,75.9,71.0,77.2,82.2,8.2
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2020,73.6,6,77.2,91.0,64.6,76.7,82.4,69.0,65.2,82.2,26.2
Kochi,kochi,IND,SHE-IND-KOCHI,2020,71.2,7,71.2,91.0,54.6,82.7,75.4,69.0,71.2,68.2,18.2
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2020,62.4,8,61.8,87.0,56.6,74.7,69.4,56.0,57.2,70.2,40.2
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2020,60.7,9,61.2,87.0,54.6,74.7,61.4,53.0,57.2,70.2,38.2
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2020,59.0,10,59.2,85.0,56.6,74.7,65.4,49.0,55.2,64.2,44.2
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2020,58.4,11,61.2,87.0,51.1,72.7,59.4,50.0,57.2,64.8,42.2
Lagos,lagos,NGA,SHE-NGA-LAGOS,2020,53.3,12,55.2,75.0,51.1,62.7,63.4,47.0,49.2,60.2,46.2
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2020,52.5,13,55.2,81.0,40.6,68.7,51.4,49.0,48.2,58.2,38.2
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2020,52.0,14,55.2,83.0,48.6,70.7,59.4,38.5,49.2,60.2,58.2
Delhi,delhi,IND,SHE-IND-DELHI,2020,50.8,15,57.2,83.0,46.6,68.7,51.4,42.0,49.2,70.2,70.8
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2020,49.3,16,53.2,79.0,45.1,58.7,49.4,45.0,45.2,56.2,44.2
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2020,48.9,17,59.2,83.0,50.6,66.7,53.4,36.5,47.2,56.2,75.2
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2020,41.1,18,47.2,77.0,34.6,57.7,35.4,35.0,36.8,46.2,48.2
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2020,36.0,19,37.2,69.0,32.6,62.7,29.4,31.0,27.2,32.2,40.2
Karachi,karachi,PAK,SHE-PAK-KARACH,2020,24.0,20,27.2,53.0,22.6,58.3,15.4,17.0,17.2,18.2,44.2
Oslo,oslo,NOR,SHE-NOR-OSLO,2021,91.5,1,92.4,97.2,87.3,96.4,93.5,90.6,89.4,90.7,8.2
Berlin,berlin,DEU,SHE-DEU-BERLIN,2021,85.3,2,83.4,95.2,81.3,94.4,87.5,83.6,82.4,84.7,12.2
New York City,new-york,USA,SHE-USA-NEW-YO,2021,80.8,3,81.4,95.2,77.3,84.4,83.5,77.6,75.4,86.7,18.2
London,london,GBR,SHE-GBR-LONDON,2021,80.2,4,79.4,95.2,75.3,88.4,83.5,76.6,75.4,84.7,20.2
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2021,78.8,5,67.4,97.2,69.3,96.4,76.0,73.6,79.4,82.7,8.2
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2021,75.5,6,77.4,91.2,71.3,80.4,82.5,71.6,67.4,82.7,26.2
Kochi,kochi,IND,SHE-IND-KOCHI,2021,73.1,7,71.4,91.2,61.3,86.4,75.5,71.6,73.4,68.7,18.2
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2021,64.4,8,61.9,87.2,63.3,78.4,69.5,58.6,59.4,70.7,40.2
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2021,62.6,9,61.4,87.2,61.3,78.4,61.5,55.6,59.4,70.7,38.2
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2021,61.3,10,59.4,85.2,63.3,78.4,65.5,53.6,57.4,64.7,44.2
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2021,60.5,11,61.4,87.2,57.8,78.4,59.5,52.6,59.4,65.2,42.2
Lagos,lagos,NGA,SHE-NGA-LAGOS,2021,55.7,12,55.4,75.2,60.8,66.4,63.5,49.6,51.4,60.7,46.2
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2021,55.5,13,55.4,81.2,51.3,72.4,51.5,51.6,56.4,58.7,38.2
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2021,54.3,14,55.4,83.2,55.3,74.4,59.5,43.6,51.4,60.7,58.2
Delhi,delhi,IND,SHE-IND-DELHI,2021,53.2,15,57.4,83.2,53.3,74.4,51.5,46.1,51.4,70.7,70.7
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2021,51.3,16,53.4,79.2,51.8,62.4,49.5,47.6,47.4,56.7,44.2
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2021,50.8,17,59.4,83.2,57.3,70.4,53.5,39.1,49.4,56.7,75.2
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2021,43.0,18,47.4,77.2,41.3,61.4,35.5,37.6,38.9,46.7,48.2
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2021,37.9,19,37.4,69.2,39.3,66.4,29.5,33.6,29.4,32.7,40.2
Karachi,karachi,PAK,SHE-PAK-KARACH,2021,25.9,20,27.4,53.2,29.3,61.9,15.5,19.6,19.4,18.7,44.2
Oslo,oslo,NOR,SHE-NOR-OSLO,2022,90.9,1,91.5,97.4,85.5,95.5,93.6,89.2,89.5,91.2,8.2
Berlin,berlin,DEU,SHE-DEU-BERLIN,2022,85.3,2,83.5,95.4,79.5,93.5,87.6,83.7,84.5,85.2,12.2
New York City,new-york,USA,SHE-USA-NEW-YO,2022,81.8,3,81.5,95.4,75.5,83.5,91.6,77.7,75.5,87.2,18.1
London,london,GBR,SHE-GBR-LONDON,2022,79.9,4,77.5,95.4,73.5,87.5,83.6,77.7,75.5,85.2,20.1
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2022,78.6,5,67.5,97.4,67.5,95.5,76.1,73.7,79.5,83.2,8.2
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2022,76.3,6,77.5,91.4,69.5,79.5,88.6,71.7,67.5,83.2,26.1
Kochi,kochi,IND,SHE-IND-KOCHI,2022,72.9,7,71.5,91.4,59.5,85.5,75.6,71.7,73.5,69.2,18.1
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2022,64.4,8,65.0,87.4,61.5,77.5,69.6,56.7,59.5,71.2,40.1
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2022,62.5,9,61.5,87.4,59.5,77.5,61.6,55.7,59.5,71.2,38.1
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2022,61.1,10,59.5,85.4,61.5,77.5,65.6,53.7,57.5,65.2,44.1
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2022,60.4,11,61.5,87.4,56.0,77.5,59.6,52.7,59.5,65.7,42.1
Lagos,lagos,NGA,SHE-NGA-LAGOS,2022,55.3,12,55.5,75.4,57.5,65.5,63.6,49.7,51.5,61.1,46.1
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2022,54.8,13,55.5,81.4,47.5,71.5,51.6,51.7,53.5,59.1,38.1
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2022,54.1,14,55.5,83.4,53.5,73.5,59.6,43.7,51.5,61.1,58.1
Delhi,delhi,IND,SHE-IND-DELHI,2022,53.0,15,57.5,83.4,51.5,73.5,51.6,46.2,51.5,71.2,70.7
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2022,51.1,16,53.5,79.4,50.0,61.5,49.6,47.7,47.5,57.1,44.1
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2022,49.6,17,59.5,83.4,55.5,69.5,53.6,36.2,49.5,57.1,81.2
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2022,37.7,18,37.5,69.4,37.5,65.5,29.6,33.7,29.6,33.1,40.1
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2022,36.8,19,47.5,77.4,39.5,54.5,0,37.7,39.0,47.1,48.1
Karachi,karachi,PAK,SHE-PAK-KARACH,2022,25.0,20,27.6,53.4,27.5,58.0,15.6,19.7,15.6,19.1,44.1
Oslo,oslo,NOR,SHE-NOR-OSLO,2023,91.3,1,91.7,97.6,85.6,95.7,93.8,90.3,89.7,91.6,8.1
Berlin,berlin,DEU,SHE-DEU-BERLIN,2023,85.4,2,83.7,95.6,79.6,93.7,87.8,83.8,83.7,85.6,12.1
New York City,new-york,USA,SHE-USA-NEW-YO,2023,81.4,3,81.7,95.6,75.6,83.7,87.8,77.8,75.7,87.6,18.1
London,london,GBR,SHE-GBR-LONDON,2023,80.1,4,77.7,95.6,73.6,87.7,83.8,77.8,75.7,85.6,20.1
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2023,79.8,5,67.7,97.6,67.6,95.7,79.3,77.8,79.7,83.6,8.1
Los Angeles,los-angeles,USA,SHE-USA-LOS-AN,2023,76.0,6,77.7,91.6,69.6,79.7,85.8,71.8,67.7,83.6,26.1
Kochi,kochi,IND,SHE-IND-KOCHI,2023,73.1,7,71.7,91.6,59.6,85.7,75.8,71.8,73.7,69.6,18.1
Mexico City,mexico-city,MEX,SHE-MEX-MEXICO,2023,64.5,8,63.7,87.6,61.6,77.7,69.8,57.8,59.7,71.6,40.1
Bengaluru,bengaluru,IND,SHE-IND-BENGAL,2023,62.6,9,61.7,87.6,59.6,77.7,61.8,55.8,59.7,71.6,38.1
Sao Paulo,sao-paulo,BRA,SHE-BRA-SAO-PA,2023,61.3,10,59.7,85.6,61.6,77.7,65.8,53.8,57.7,65.6,44.1
Mumbai,mumbai,IND,SHE-IND-MUMBAI,2023,61.1,11,61.7,87.6,56.1,77.7,59.8,54.8,59.7,69.1,42.1
Lagos,lagos,NGA,SHE-NGA-LAGOS,2023,55.5,12,55.7,75.6,57.6,65.7,63.8,49.8,51.7,61.6,46.1
Kolkata,kolkata,IND,SHE-IND-KOLKAT,2023,55.0,13,55.7,81.6,47.6,71.7,51.8,51.8,53.7,59.6,38.1
Rio de Janeiro,rio,BRA,SHE-BRA-RIO,2023,54.3,14,55.7,83.6,53.6,73.7,59.8,43.8,51.7,61.6,58.1
Delhi,delhi,IND,SHE-IND-DELHI,2023,52.5,15,57.7,83.6,51.6,73.7,51.8,43.3,51.7,71.6,73.6
Nairobi,nairobi,KEN,SHE-KEN-NAIROB,2023,51.7,16,53.7,79.6,53.1,61.7,49.8,47.8,47.7,57.6,44.1
Johannesburg,johannesburg,ZAF,SHE-ZAF-JOHANN,2023,50.3,17,59.7,83.6,55.6,69.7,53.8,37.8,49.7,57.6,78.1
Jackson MS,jackson-ms,USA,SHE-USA-JACKSO,2023,39.2,18,47.7,77.6,39.6,53.7,17.8,37.8,36.2,47.6,48.1
Dhaka,dhaka,BGD,SHE-BGD-DHAKA,2023,37.9,19,37.7,69.6,37.6,65.7,29.8,33.8,29.7,33.6,40.1
Karachi,karachi,PAK,SHE-PAK-KARACH,2023,25.5,20,27.7,53.6,27.6,59.7,15.8,19.8,17.7,19.6,44.1
Oslo,oslo,NOR,SHE-NOR-OSLO,2024,91.6,1,91.8,97.8,85.8,95.8,93.9,89.9,89.8,95.0,8.1
Berlin,berlin,DEU,SHE-DEU-BERLIN,2024,85.9,2,83.8,95.8,79.8,93.8,87.9,83.9,83.8,89.0,12.1
New York City,new-york,USA,SHE-USA-NEW-YO,2024,81.9,3,81.8,95.8,75.8,83.8,87.9,77.9,75.8,91.0,18.1
London,london,GBR,SHE-GBR-LONDON,2024,80.5,4,77.8,95.8,73.8,87.8,83.9,77.9,75.8,89.0,20.1
Tokyo,tokyo,JPN,SHE-JPN-TOKYO,2024,79.7,5,67.8,97.8,67.8,95.8,77.9,75.9,79.8,87.0,8.1
